InChI	CID	IUPAC_name	Molecular_formula	Molecular_weight	Isomeric_smiles	Canonical_smiles	abbrv	Name
FCQGJGLSOWZZON-UHFFFAOYSA-K	157010190	[(2-amino-4-oxido-7,8-dihydropteridin-6-yl)methoxy-hydroxyphosphoryl] phosphate	C7H8N5O8P2-3	352.11	C1C(=NC2=C(N1)N=C(N=C2[O-])N)COP(=O)(O)OP(=O)([O-])[O-]	C1C(=NC2=C(N1)N=C(N=C2[O-])N)COP(=O)(O)OP(=O)([O-])[O-]	6hmhptpp	6-hydroxymethyl-dihydropterin pyrophosphate
DZGWFCGJZKJUFP-UHFFFAOYSA-O	145000844	[4-(2-aminoethyl)phenyl]oxidanium	C8H12NO+	138.19	C1=CC(=CC=C1CCN)[OH2+]	C1=CC(=CC=C1CCN)[OH2+]	tym	Tyramine
ZMJGSOSNSPKHNH-UHFFFAOYSA-M	140739348	[4-(aminomethyl)-5-hydroxy-6-methylpyridin-3-yl]methyl hydrogen phosphate	C8H12N2O5P-	247.16	CC1=NC=C(C(=C1O)CN)COP(=O)(O)[O-]	CC1=NC=C(C(=C1O)CN)COP(=O)(O)[O-]	pyam5p	Pyridoxamine 5'-phosphate
DLKSSIHHLYNIKN-QIISWYHFSA-D	139031494	iron(2+);3-[(2S,3S,7S,8S)-7,13,17-tris(2-carboxylatoethyl)-3,8,12,18-tetrakis(carboxylatomethyl)-3,8-dimethyl-2,7-dihydroporphyrin-23,24-diid-2-yl]propanoate	C42H36FeN4O16-8	908.6	C[C@@]1([C@@H](C2=NC1=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=C2)[N-]5)CC(=O)[O-])CCC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])[C@@]([C@@H]3CCC(=O)[O-])(C)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-].[Fe+2]	CC1(C(C2=NC1=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=C2)[N-]5)CC(=O)[O-])CCC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])C(C3CCC(=O)[O-])(C)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-].[Fe+2]	sheme	Siroheme C42H36FeN4O16
PMCOGCVKOAOZQM-ZRTZXPPTSA-M	139031404	[(2R,3S,4R)-5-(1-amino-2-formamidoethylidene)azaniumyl-3,4-dihydroxyoxolan-2-yl]methyl phosphate	C8H15N3O8P-	312.19	C([C@@H]1[C@H]([C@H](C(O1)[NH+]=C(CNC=O)N)O)O)OP(=O)([O-])[O-]	C(C1C(C(C(O1)[NH+]=C(CNC=O)N)O)O)OP(=O)([O-])[O-]	fpram	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
QOUSHGMTBIIAHR-KEOHHSTQSA-J	139031403	[(2R,3S,4R,5R)-5-[[[5-carbamoyl-3-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonatooxymethyl)oxolan-2-yl]imidazol-4-yl]amino]methylideneamino]-3,4-dihydroxyoxolan-2-yl]methyl phosphate	C15H21N5O15P2-4	573.30	C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O)NC=N[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)C(=O)N	C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)NC=NC3C(C(C(O3)COP(=O)([O-])[O-])O)O)C(=O)N	prfp	1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide
VWXQFHJBQHTHMK-LURJTMIESA-M	138402299	N-[(1S)-4-amino-1-carboxybutyl]-4-hydroxy-4-oxobutanimidate	C9H15N2O5-	231.23	C(C[C@@H](C(=O)O)N=C(CCC(=O)O)[O-])CN	C(CC(C(=O)O)N=C(CCC(=O)O)[O-])CN	sucorn	N2-Succinyl-L-ornithine
QKEWQOJCHPFEAF-YFKPBYRVSA-O	138399704	[(4S)-4-amino-5-carboxypentyl]azanium	C6H15N2O2+	147.20	C(C[C@@H](CC(=O)O)N)C[NH3+]	C(CC(CC(=O)O)N)C[NH3+]	36dahx	(3S)-3,6-Diaminohexanoate
KDTSHFARGAKYJN-IBOSZNHHSA-L	138399264	(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethyl-N-[3-oxido-3-(2-sulfanylethylimino)propyl]butanimidate	C21H33N7O13P2S-2	685.5	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)[C@H](C(=NCCC(=NCCS)[O-])[O-])O	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C(C(=NCCC(=NCCS)[O-])[O-])O	dpcoa	Dephospho-CoA
JCNBNOQGFSXOML-YFKPBYRVSA-K	138399188	(4S)-4-[(3-carboxylato-1-oxidopropylidene)amino]-5-hydroxy-5-oxopentanoate	C9H10NO7-3	244.18	C(CC(=O)[O-])[C@@H](C(=O)O)N=C(CCC(=O)[O-])[O-]	C(CC(=O)[O-])C(C(=O)O)N=C(CCC(=O)[O-])[O-]	sucglu	N2-Succinyl-L-glutamate
IXZNKTPIYKDIGG-REOHCLBHSA-L	138398601	(2S)-2-amino-4-[hydroxy(oxido)phosphoryl]oxy-4-oxobutanoate	C4H6NO7P-2	211.07	C([C@@H](C(=O)[O-])N)C(=O)OP(=O)(O)[O-]	C(C(C(=O)[O-])N)C(=O)OP(=O)(O)[O-]	4pasp	4-Phospho-L-aspartate
OGNSCSPNOLGXSM-VKHMYHEASA-O	138398292	[(3S)-3-amino-3-carboxypropyl]azanium	C4H11N2O2+	119.14	C(C[NH3+])[C@@H](C(=O)O)N	C(C[NH3+])C(C(=O)O)N	24dab	L-2,4-Diaminobutanoate
AHCYMLUZIRLXAA-SHYZEUOFSA-J	138397570	[hydroxy-[[(2R,3S,5R)-3-hydroxy-5-(4-oxido-2-oxopyrimidin-1-yl)oxolan-2-yl]methoxy-oxidophosphoryl]oxyphosphoryl] phosphate	C9H11N2O14P3-4	464.11	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)[O-])COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])O	C1C(C(OC1N2C=CC(=NC2=O)[O-])COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])O	dutp	DUTP C9H11N2O14P3
WHUUTDBJXJRKMK-GSVOUGTGSA-M	138397024	(4R)-4-amino-5-hydroxy-5-oxopentanoate	C5H8NO4-	146.12	C(CC(=O)[O-])[C@H](C(=O)O)N	C(CC(=O)[O-])C(C(=O)O)N	glu__D	D-Glutamate
BRGMHAYQAZFZDJ-RTRLPJTCSA-L	138396752	N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-[[hydroxy(oxido)phosphoryl]oxymethyl]oxan-3-yl]ethanimidate	C8H14NO9P-2	299.17	CC(=N[C@@H]1[C@H]([C@@H]([C@H](OC1O)COP(=O)(O)[O-])O)O)[O-]	CC(=NC1C(C(C(OC1O)COP(=O)(O)[O-])O)O)[O-]	acgam6p	N-Acetyl-D-glucosamine 6-phosphate
ZQISRDCJNBUVMM-YFKPBYRVSA-O	137349533	(2S)-2-amino-3-(1H-imidazol-3-ium-5-yl)propan-1-ol	C6H12N3O+	142.18	C1=C(NC=[NH+]1)C[C@@H](CO)N	C1=C(NC=[NH+]1)CC(CO)N	histd	L-Histidinol
DDRJAANPRJIHGJ-UHFFFAOYSA-N	137319715	2-imino-1-methylimidazolidin-4-one	C4H7N3O	113.12	CN1CC(=O)NC1=N	CN1CC(=O)NC1=N	creat	Creatine cytosol
KCPMACXZAITQAX-UUOKFMHZSA-H	135957088	[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-4-hydroxy-2-[[[[hydroxy(oxido)phosphoryl]oxy-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]oxolan-3-yl]oxy-oxidophosphoryl] phosphate	C10H12N5O20P5-6	677.09	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)(O)[O-])OP(=O)([O-])OP(=O)([O-])[O-])O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)(O)[O-])OP(=O)([O-])OP(=O)([O-])[O-])O)N=C(NC2=O)N	gdptp	Guanosine 3'-diphosphate 5'-triphosphate
YCWUVLPMLLBDCU-STQMWFEESA-L	135957086	(2S)-2-[[4-[[(6S)-2-amino-5-methanimidoyl-4-oxo-3,6,7,8-tetrahydropteridin-6-yl]methylamino]benzoyl]amino]pentanedioate	C20H22N8O6-2	470.4	C1[C@@H](N(C2=C(N1)N=C(NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	C1C(N(C2=C(N1)N=C(NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]	5forthf	5-Formiminotetrahydrofolate
MEANFMOQMXYMCT-OLZOCXBDSA-M	135926594	(2S)-2-[[4-[(6aR)-3-amino-1-oxo-5,6,6a,7-tetrahydro-2H-imidazo[1,5-f]pteridin-10-ium-8-yl]benzoyl]amino]pentanedioate	C20H20N7O6-	454.4	C1[C@@H]2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	C1C2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)[O-])C(=O)[O-]	methf	5,10-Methenyltetrahydrofolate
ZEHOHLFQOXAZHX-MHARETSRSA-K	135887868	[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3-[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-4-hydroxyoxolan-2-yl]methyl phosphate	C20H23N10O15P2-3	705.4	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])O[C@@H]4[C@H](O[C@H]([C@@H]4O)N5C=NC6=C5N=C(NC6=O)N)COP(=O)([O-])[O-])O)O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OC4C(OC(C4O)N5C=NC6=C5N=C(NC6=O)N)COP(=O)([O-])[O-])O)O)N=C(NC2=O)N	5pg35pg	5-Phosphoguanylyl(3->5)guanosine
BKUSIKGSPSFQAC-RRKCRQDMSA-K	135874855	[[(2R,3S,5R)-3-hydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C10H11N4O10P2-3	409.16	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CNC3=O)COP(=O)([O-])OP(=O)([O-])[O-])O	C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)([O-])OP(=O)([O-])[O-])O	didp	DIDP; 2'-deoxyinosine-5'-diphosphate(3-)
XHIXPVCTDRNTTC-YQVKZWHSSA-N	135874854	2-amino-6-[(1S,2S)-1,2,3-trihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one	C9H15N5O4	257.25	C1C(NC2=C(N1)N=C(NC2=O)N)[C@@H]([C@H](CO)O)O	C1C(NC2=C(N1)N=C(NC2=O)N)C(C(CO)O)O	thmnp	Tetrahydromonapterin
ZDPUTNZENXVHJC-UUOKFMHZSA-L	135823809	[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] phosphate	C10H12N5O8P-2	361.20	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])[O-])O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)CO)OP(=O)([O-])[O-])O)N=C(NC2=O)N	3gmp	Guanosine 3  phosphate C10H12N5O8P
OVBPIULPVIDEAO-LBPRGKRZSA-L	135761165	(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioate	C19H17N7O6-2	439.4	C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])NCC2=CN=C3C(=N2)C(=O)NC(=N3)N	C1=CC(=CC=C1C(=O)NC(CCC(=O)[O-])C(=O)[O-])NCC2=CN=C3C(=N2)C(=O)NC(=N3)N	fol	Folate
UASRYODFRYWBRC-UUOKFMHZSA-M	135755291	9-[(3aR,4R,6R,6aR)-6-(hydroxymethyl)-2-oxido-2-oxo-3a,4,6,6a-tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-4-yl]-2-amino-1H-purin-6-one	C10H11N5O7P-	344.20	C1=NC2=C(N1[C@H]3[C@H]4[C@@H]([C@H](O3)CO)OP(=O)(O4)[O-])N=C(NC2=O)N	C1=NC2=C(N1C3C4C(C(O3)CO)OP(=O)(O4)[O-])N=C(NC2=O)N	23cgmp	2',3'-Cyclic GMP
JPXZQMKKFWMMGK-KQYNXXCUSA-K	135573953	[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C10H11N4O11P2-3	425.16	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O	idp	IDP C10H11N4O11P2
WBFYVDCHGVNRBH-UHFFFAOYSA-M	135476773	4-[(2-amino-4-oxo-7,8-dihydro-3H-pteridin-6-yl)methylamino]benzoate	C14H13N6O3-	313.29	C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)[O-]	C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)[O-]	dhpt	Dihydropteroate
WBJZXBUVECZHCE-SCSAIBSYSA-N	135440065	1-[(6R)-2-amino-4-oxo-5,6,7,8-tetrahydro-3H-pteridin-6-yl]propane-1,2-dione	C9H11N5O3	237.22	CC(=O)C(=O)[C@H]1CNC2=C(N1)C(=O)NC(=N2)N	CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N	6pthp	6-Pyruvoyl-5,6,7,8-tetrahydropterin
WTCKJYQWPPSOES-UHFFFAOYSA-N	135414326	[4-[(1-hydroxy-2-oxoazepan-3-yl)amino]-4-oxobutan-2-yl] 6-[henicosanoyl(hydroxy)amino]-2-[[2-(2-hydroxyphenyl)-4,5-dihydro-1,3-oxazole-4-carbonyl]amino]hexanoate	C47H77N5O10	872.1	CCCCCCCCCCCCCCCCCCCCC(=O)N(CCCCC(C(=O)OC(C)CC(=O)NC1CCCCN(C1=O)O)NC(=O)C2COC(=N2)C3=CC=CC=C3O)O	CCCCCCCCCCCCCCCCCCCCC(=O)N(CCCCC(C(=O)OC(C)CC(=O)NC1CCCCN(C1=O)O)NC(=O)C2COC(=N2)C3=CC=CC=C3O)O	mcbtt	Mycobactin T
MSTNYGQPCMXVAQ-RYUDHWBXSA-L	135398649	(2S)-2-[[4-[[(6S)-2-amino-4-oxo-5,6,7,8-tetrahydro-3H-pteridin-6-yl]methylamino]benzoyl]amino]pentanedioate	C19H21N7O6-2	443.4	C1[C@@H](NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]	thf	5,6,7,8-Tetrahydrofolate
QYNUQALWYRSVHF-OLZOCXBDSA-L	135398644	(2S)-2-[[4-[(6aR)-3-amino-1-oxo-2,5,6,6a,7,9-hexahydroimidazo[1,5-f]pteridin-8-yl]benzoyl]amino]pentanedioate	C20H21N7O6-2	455.4	C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	C1C2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)[O-])C(=O)[O-]	mlthf	5,10-Methylenetetrahydrofolate
HAEJPQIATWHALX-KQYNXXCUSA-J	135398642	[[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl] phosphate	C10H11N4O14P3-4	504.13	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O	itp	ITP C10H11N4O14P3
UGQMRVRMYYASKQ-KQYNXXCUSA-N	135398641	9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one	C10H12N4O5	268.23	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O	ins	Inosine
GRSZFWQUAKGDAV-KQYNXXCUSA-L	135398639	[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl phosphate	C10H11N4O8P-2	346.19	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)([O-])[O-])O)O	imp	IMP C10H11N4O8P
FDGQSTZJBFJUBT-UHFFFAOYSA-N	135398638	1,7-dihydropurin-6-one	C5H4N4O	136.11	C1=NC2=C(N1)C(=O)NC=N2	C1=NC2=C(N1)C(=O)NC=N2	hxan	Hypoxanthine
BUFLLCUFNHESEH-UUOKFMHZSA-I	135398636	[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-4-hydroxy-2-[[[hydroxy(oxido)phosphoryl]oxy-oxidophosphoryl]oxymethyl]oxolan-3-yl]oxy-oxidophosphoryl] phosphate	C10H12N5O17P4-5	598.12	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)(O)[O-])OP(=O)([O-])OP(=O)([O-])[O-])O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)(O)[O-])OP(=O)([O-])OP(=O)([O-])[O-])O)N=C(NC2=O)N	ppgpp	Guanosine 3',5'-bis(diphosphate)
NYHBQMYGNKIUIF-UUOKFMHZSA-N	135398635	2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one	C10H13N5O5	283.24	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N	gsn	Guanosine
UYTPUPDQBNUYGX-UHFFFAOYSA-N	135398634	2-amino-1,7-dihydropurin-6-one	C5H5N5O	151.13	C1=NC2=C(N1)C(=O)NC(=N2)N	C1=NC2=C(N1)C(=O)NC(=N2)N	gua	Guanine
XKMLYUALXHKNFT-UUOKFMHZSA-J	135398632	[[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl] phosphate	C10H12N5O14P3-4	519.15	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(NC2=O)N	gtp	GTP C10H12N5O14P3
RQFCJASXJCIDSX-UUOKFMHZSA-L	135398630	[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate	C10H12N5O8P-2	361.20	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])[O-])O)O)N=C(NC2=O)N	gmp	GMP C10H12N5O8P
KCPMACXZAITQAX-UUOKFMHZSA-H	135398628	[[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-4-hydroxy-3-[[hydroxy(oxido)phosphoryl]oxy-oxidophosphoryl]oxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl] phosphate	C10H12N5O20P5-6	677.09	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])OP(=O)([O-])OP(=O)(O)[O-])O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])OP(=O)([O-])OP(=O)(O)[O-])O)N=C(NC2=O)N	gdptp	Guanosine 3'-diphosphate 5'-triphosphate
MVMSCBBUIHUTGJ-GDJBGNAASA-L	135398626	[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] [(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] phosphate	C16H23N5O16P2-2	603.3	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)N=C(NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	gdpmann	GDP-D-mannose
