,Shannon index,Simpson index,Auxotroph index,Prototroph index,CS,CS class,N CS,y,csx,# Carbon sources,Abundant auxotroph,Abundant prototroph,xxx,At rank,At dominant,At rank 1
D4,0.45866372371589026,0.8653547901959256,0.028585040495474036,0.9290138161029061,Myo-inositol,Other,1,0.45866372371589026,Other,One,False,True,False/One,1,True,True
H9,0.39940947908812835,0.8834582679944636,0.013596633214632567,0.9388151505341534,Mannitol + myo-inositol,nan,2,0.39940947908812835,,Two,False,True,False/Two,1,True,True
A5,0.38749962349755074,0.8838484872874833,0.04839334107626791,0.9388308168795974,Glucose,Sugar,1,0.38749962349755074,Sugar,One,False,True,False/One,1,True,True
D6,0.3858173674886844,0.8895748875097783,0.020684900022983222,0.9423121121581246,Myo-inositol,Other,1,0.3858173674886844,Other,One,False,True,False/One,1,True,True
H8,0.3858040686466734,0.8897880881719465,0.014135556361000362,0.9423704240666908,Mannitol + myo-inositol,nan,2,0.3858040686466734,,Two,False,True,False/Two,1,True,True
D2,0.3792206775100213,0.8974804269681376,0.02254283137962128,0.9467989179440938,Mannose,Sugar,1,0.3792206775100213,Sugar,One,False,True,False/One,1,True,True
A4,0.37274231885627496,0.8914848367976,0.04087193460490463,0.9431984908824146,Glucose,Sugar,1,0.37274231885627496,Sugar,One,False,True,False/One,1,True,True
A6,0.37038249394538925,0.8904924722399963,0.043408160734218035,0.9425772045144487,Glucose,Sugar,1,0.37038249394538925,Sugar,One,False,True,False/One,1,True,True
C10,0.3620296449528745,0.8979335787615585,0.008488410055501142,0.9467841984982044,Mannitol,Other,1,0.3620296449528745,Other,One,False,True,False/One,1,True,True
B1,0.32274965487274887,0.9141437505723443,0.016724405686297933,0.9556803249313105,Glycerol,Other,1,0.32274965487274887,Other,One,False,True,False/One,1,True,True
G12,0.31863569150127075,0.9130421430552272,0.030695770804911322,0.9549795361527967,Glycerol + inosine,nan,2,0.31863569150127075,,Two,False,True,False/Two,1,True,True
G11,0.31432600116179776,0.9150086795843067,0.028478437754271765,0.9560618388934092,Glycerol + inosine,nan,2,0.31432600116179776,,Two,False,True,False/Two,1,True,True
C11,0.3039709889752194,0.9167850080698701,0.006578947368421052,0.9569377990430622,Mannitol,Other,1,0.3039709889752194,Other,One,False,True,False/One,1,True,True
C12,0.2757622588320234,0.9267200231669922,0.008103317295517852,0.962268928842745,Mannitol,Other,1,0.2757622588320234,Other,One,False,True,False/One,1,True,True
B3,0.27047029999779093,0.929624360897405,0.011244979919678716,0.963855421686747,Glycerol,Other,1,0.27047029999779093,Other,One,False,True,False/One,1,True,True
G10,0.256314004398836,0.9353022107271926,0.017905102954341987,0.9668755595344674,Glycerol + inosine,nan,2,0.256314004398836,,Two,False,True,False/Two,1,True,True
D8,0.21837030382649278,0.9464120485334397,0.015516442797591477,0.9726725335803613,Xylose,Sugar,1,0.21837030382649278,Sugar,One,False,True,False/One,1,True,True
B2,0.16330123900874383,0.9621937945898056,0.006035913686434284,0.9808359740455711,Glycerol,Other,1,0.16330123900874383,Other,One,False,True,False/One,1,True,True
D7,0.1394514909145299,0.9688511269383651,0.008202099737532808,0.984251968503937,Xylose,Sugar,1,0.1394514909145299,Sugar,One,False,True,False/One,1,True,True
D9,0.11135047711318016,0.9762048997728462,0.005786873676781934,0.9880028228652082,Xylose,Sugar,1,0.11135047711318016,Sugar,One,False,True,False/One,1,True,True
