,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD
290,H3,5,640000.0,Ml,Ml,M9_mannose,0.001
294,H7,5,120000.0,Ml,Ml,M9_mannose+thiamine,0.001
298,H11,5,4800000000.0,Ml,Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
306,A3,5,1360000000.0,Oa,At+Oa,M9_mannose,0.001
308,A5,5,1200000000.0,Oa,Ct+Oa,M9_mannose,0.001
309,A6,5,340000000.0,Oa,Ml+Oa,M9_mannose,0.001
310,A7,5,1020000000.0,Oa,At+Oa,M9_mannose+thiamine,0.001
311,A8,5,14800000000.0,Oa,Ct+Oa,M9_mannose+thiamine,0.001
312,A9,5,13000000000.0,Oa,Ml+Oa,M9_mannose+thiamine,0.001
315,A12,5,1200000000.0,Oa,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
318,B3,5,1620000000.0,Oa,At+Oa,M9_mannose,0.001
320,B5,5,980000000.0,Oa,Ct+Oa,M9_mannose,0.001
321,B6,5,200000000.0,Oa,Ml+Oa,M9_mannose,0.001
322,B7,5,1000000000.0,Oa,At+Oa,M9_mannose+thiamine,0.001
323,B8,5,13600000000.0,Oa,Ct+Oa,M9_mannose+thiamine,0.001
324,B9,5,9600000000.0,Oa,Ml+Oa,M9_mannose+thiamine,0.001
327,B12,5,8000000000.0,Oa,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
330,C3,5,1380000000.0,Oa,At+Oa,M9_mannose,0.001
332,C5,5,920000000.0,Oa,Ct+Oa,M9_mannose,0.001
333,C6,5,220000000.0,Oa,Ml+Oa,M9_mannose,0.001
334,C7,5,840000000.0,Oa,At+Oa,M9_mannose+thiamine,0.001
335,C8,5,12000000000.0,Oa,Ct+Oa,M9_mannose+thiamine,0.001
336,C9,5,7400000000.0,Oa,Ml+Oa,M9_mannose+thiamine,0.001
339,C12,5,8000000000.0,Oa,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
342,D3,5,1460000000.0,Oa,At+Oa,M9_mannose,0.001
344,D5,5,1020000000.0,Oa,Ct+Oa,M9_mannose,0.001
345,D6,5,180000000.0,Oa,Ml+Oa,M9_mannose,0.001
346,D7,5,940000000.0,Oa,At+Oa,M9_mannose+thiamine,0.001
347,D8,5,11400000000.0,Oa,Ct+Oa,M9_mannose+thiamine,0.001
348,D9,5,8600000000.0,Oa,Ml+Oa,M9_mannose+thiamine,0.001
351,D12,5,400000000.0,Oa,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
355,E4,5,60000000.0,Oa,Oa,M9_mannose,0.001
359,E8,5,8000000000.0,Oa,Oa,M9_mannose+thiamine,0.001
363,E12,5,24000000000.0,Oa,Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
367,F4,5,50000000.0,Oa,Oa,M9_mannose,0.001
371,F8,5,6000000000.0,Oa,Oa,M9_mannose+thiamine,0.001
375,F12,5,20000000000.0,Oa,Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
379,G4,5,60000000.0,Oa,Oa,M9_mannose,0.001
383,G8,5,6000000000.0,Oa,Oa,M9_mannose+thiamine,0.001
387,G12,5,34000000000.0,Oa,Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
391,H4,5,54000000.0,Oa,Oa,M9_mannose,0.001
395,H8,5,18000000000.0,Oa,Oa,M9_mannose+thiamine,0.001
399,H12,5,8000000000.0,Oa,Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
400,A1,3,1800000000.0,At,At,Ct_isoleucine,0.05
401,B1,3,1600000000.0,At,At,Ct_isoleucine,0.05
402,B4,3,240000000.0,At,At,M9_isoleucine,0.05
403,C1,3,2200000000.0,At,At,Ct_isoleucine,0.05
404,C4,3,260000000.0,At,At,M9_isoleucine,0.05
405,G1,3,320000000.0,At,At,No_CS,0.05
406,G2,3,240000000.0,At,At,No_CS,0.05
407,G3,3,420000000.0,At,At,No_CS,0.05
408,D1,3,220000000.0,Ct,Ct,Ct_isoleucine,0.05
409,D2,3,460000000.0,Ct,Ct,Ct_isoleucine,0.05
410,D3,3,420000000.0,Ct,Ct,Ct_isoleucine,0.05
411,D4,3,7600000000.0,Ct,Ct,M9_isoleucine,0.05
412,D5,3,7600000000.0,Ct,Ct,M9_isoleucine,0.05
413,D6,3,6800000000.0,Ct,Ct,M9_isoleucine,0.05
414,G4,3,92000000.0,Ct,Ct,No_CS,0.05
415,G5,3,78000000.0,Ct,Ct,No_CS,0.05
416,G6,3,72000000.0,Ct,Ct,No_CS,0.05
417,A2,3,1000000000.0,Ml,Ml,Ct_isoleucine,0.05
418,A5,3,380000000.0,Ml,Ml,M9_isoleucine+thiamine+biotin+cysteine+proline,0.05
419,B2,3,800000000.0,Ml,Ml,Ct_isoleucine,0.05
420,B5,3,1200000000.0,Ml,Ml,M9_isoleucine+thiamine+biotin+cysteine+proline,0.05
421,C2,3,1600000000.0,Ml,Ml,Ct_isoleucine,0.05
422,C5,3,360000000.0,Ml,Ml,M9_isoleucine+thiamine+biotin+cysteine+proline,0.05
423,G7,3,28000000.0,Ml,Ml,No_CS,0.05
424,G8,3,28000000.0,Ml,Ml,No_CS,0.05
425,G9,3,38000000.0,Ml,Ml,No_CS,0.05
426,A6,3,3200000000.0,Oa,Oa,M9_isoleucine+thiamine,0.05
427,B6,3,2600000000.0,Oa,Oa,M9_isoleucine+thiamine,0.05
428,C3,3,1800000000.0,Oa,Oa,Ct_isoleucine,0.05
429,C6,3,2000000000.0,Oa,Oa,M9_isoleucine+thiamine,0.05
430,G10,3,80000000.0,Oa,Oa,No_CS,0.05
431,G11,3,80000000.0,Oa,Oa,No_CS,0.05
432,G12,3,300000000.0,Oa,Oa,No_CS,0.05
