Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP130430.1	63570	64730	1	plus	ABC transporter substrate-binding protein			protein-coding			WP_010660503.1	ABC transporter substrate-binding protein	386	QYR01_RS00255
NZ_CP130430.1	64820	65818	1	plus	ABC transporter ATP-binding protein			protein-coding			WP_010660502.1	ABC transporter ATP-binding protein	332	QYR01_RS00260
NZ_CP130430.1	65815	66798	1	plus	ABC transporter permease			protein-coding			WP_010660501.1	ABC transporter permease	327	QYR01_RS00265
NZ_CP130430.1	66788	67603	1	plus	ABC transporter permease			protein-coding			WP_010660500.1	ABC transporter permease	271	QYR01_RS00270
NZ_CP130430.1	67620	69044	1	plus	gamma-aminobutyraldehyde dehydrogenase			protein-coding			WP_010660499.1	gamma-aminobutyraldehyde dehydrogenase	474	QYR01_RS00275
NZ_CP130430.1	69346	70206	1	plus	urea carboxylase-associated family protein			protein-coding			WP_010660498.1	urea carboxylase-associated family protein	286	QYR01_RS00280
NZ_CP130430.1	70278	70664	1	minus	ectoine synthase			protein-coding			WP_010660497.1	ectoine synthase	128	QYR01_RS00285
NZ_CP130430.1	70698	72029	1	minus	amidase			protein-coding			WP_010660496.1	amidase	443	QYR01_RS00290
NZ_CP130430.1	72164	72814	1	minus	GntR family transcriptional regulator			protein-coding			WP_010660495.1	GntR family transcriptional regulator	216	QYR01_RS00295
NZ_CP130430.1	72818	74350	1	minus	amino acid ABC transporter permease/ATP-binding protein			protein-coding			WP_010660494.1	amino acid ABC transporter permease/ATP-binding protein	510	QYR01_RS00300
NZ_CP130430.1	74411	75271	1	minus	ABC transporter substrate-binding protein			protein-coding			WP_010660493.1	ABC transporter substrate-binding protein	286	QYR01_RS00305
NZ_CP130430.1	75581	76435	1	minus	MurR/RpiR family transcriptional regulator			protein-coding			WP_010660492.1	MurR/RpiR family transcriptional regulator	284	QYR01_RS00310
NZ_CP130430.1	76496	77545	1	minus	polyamine ABC transporter substrate-binding protein			protein-coding			WP_010660491.1	polyamine ABC transporter substrate-binding protein	349	QYR01_RS00315
NZ_CP130430.1	77708	78796	1	plus	ABC transporter ATP-binding protein			protein-coding			WP_302701149.1	ABC transporter ATP-binding protein	362	QYR01_RS00320
NZ_CP130430.1	78796	79689	1	plus	ABC transporter permease			protein-coding			WP_010660489.1	ABC transporter permease	297	QYR01_RS00325
NZ_CP130430.1	79709	80539	1	plus	ABC transporter permease			protein-coding			WP_010660488.1	ABC transporter permease	276	QYR01_RS00330
NZ_CP130430.1	80541	81668	1	plus	DmpA family aminopeptidase			protein-coding			WP_010660487.1	DmpA family aminopeptidase	375	QYR01_RS00335
NZ_CP130430.1	81857	82837	1	plus	sugar ABC transporter substrate-binding protein			protein-coding			WP_010660486.1	sugar ABC transporter substrate-binding protein	326	QYR01_RS00340
NZ_CP130430.1	82920	84425	1	plus	sugar ABC transporter ATP-binding protein			protein-coding			WP_010660485.1	sugar ABC transporter ATP-binding protein	501	QYR01_RS00345
NZ_CP130430.1	84422	85435	1	plus	ABC transporter permease			protein-coding			WP_010660484.1	ABC transporter permease	337	QYR01_RS00350
NZ_CP130430.1	85666	86613	1	plus	hypothetical protein			protein-coding			WP_235916889.1	hypothetical protein	315	QYR01_RS00355
NZ_CP130430.1	86625	87233	1	minus	class GN sortase			protein-coding			WP_010660482.1	class GN sortase	202	QYR01_RS00360
NZ_CP130430.1	87233	89485	1	minus	marine proteobacterial sortase target protein			protein-coding			WP_036563893.1	marine proteobacterial sortase target protein	750	QYR01_RS00365
NZ_CP130430.1	89654	90421	1	plus	helix-turn-helix domain-containing protein			protein-coding			WP_010660480.1	helix-turn-helix domain-containing protein	255	QYR01_RS00370
NZ_CP130430.1	90572	90889	1	plus	hypothetical protein			protein-coding			WP_011983120.1	hypothetical protein	105	QYR01_RS00375
NZ_CP130430.1	90988	91680	1	minus	cupin domain-containing protein			protein-coding			WP_010660478.1	cupin domain-containing protein	230	QYR01_RS00380
NZ_CP130430.1	91686	92981	1	minus	NAD(P)/FAD-dependent oxidoreductase			protein-coding			WP_010660477.1	NAD(P)/FAD-dependent oxidoreductase	431	QYR01_RS00385
NZ_CP130430.1	93023	93640	1	minus	cupin domain-containing protein			protein-coding			WP_010660476.1	cupin domain-containing protein	205	QYR01_RS00390
NZ_CP130430.1	93774	95111	1	plus	NAD(P)/FAD-dependent oxidoreductase			protein-coding			WP_010660475.1	NAD(P)/FAD-dependent oxidoreductase	445	QYR01_RS00395
NZ_CP130430.1	95222	95974	1	plus	ABC transporter substrate-binding protein			protein-coding			WP_010660474.1	ABC transporter substrate-binding protein	250	QYR01_RS00400
NZ_CP130430.1	96145	96807	1	plus	amino acid ABC transporter permease			protein-coding			WP_011983115.1	amino acid ABC transporter permease	220	QYR01_RS00405
NZ_CP130430.1	96816	97544	1	plus	amino acid ABC transporter ATP-binding protein			protein-coding			WP_010660472.1	amino acid ABC transporter ATP-binding protein	242	QYR01_RS00410
NZ_CP130430.1	97591	98520	1	plus	2-hydroxyacid dehydrogenase			protein-coding			WP_010660471.1	2-hydroxyacid dehydrogenase	309	QYR01_RS00415
NZ_CP130430.1	98593	99708	1	minus	RuBisCO large subunit C-terminal-like domain-containing protein			protein-coding			WP_010660470.1	RuBisCO large subunit C-terminal-like domain-containing protein	371	QYR01_RS00420
NZ_CP130430.1	99708	100709	1	minus	transketolase family protein			protein-coding			WP_010660469.1	transketolase family protein	333	QYR01_RS00425
NZ_CP130430.1	100712	101647	1	minus	transketolase			protein-coding			WP_010660468.1	transketolase	311	QYR01_RS00430
NZ_CP130430.1	101652	102746	1	minus	S-methyl-5-thioribose-1-phosphate isomerase	mtnA		protein-coding			WP_010660467.1	S-methyl-5-thioribose-1-phosphate isomerase	364	QYR01_RS00435
NZ_CP130430.1	102743	104014	1	minus	S-methyl-5-thioribose kinase	mtnK		protein-coding			WP_029376151.1	S-methyl-5-thioribose kinase	423	QYR01_RS00440
NZ_CP130430.1	104159	105673	1	plus	sugar ABC transporter ATP-binding protein			protein-coding			WP_010660465.1	sugar ABC transporter ATP-binding protein	504	QYR01_RS00445
NZ_CP130430.1	105673	106722	1	plus	ABC transporter permease			protein-coding			WP_029376150.1	ABC transporter permease	349	QYR01_RS00450
NZ_CP130430.1	106773	107816	1	plus	substrate-binding domain-containing protein			protein-coding			WP_010660463.1	substrate-binding domain-containing protein	347	QYR01_RS00455
NZ_CP130430.1	107977	110031	1	minus	bifunctional aldolase/short-chain dehydrogenase			protein-coding			WP_010660462.1	bifunctional aldolase/short-chain dehydrogenase	684	QYR01_RS00460
NZ_CP130430.1	110092	111072	1	minus	sugar-binding transcriptional regulator			protein-coding			WP_029928557.1	sugar-binding transcriptional regulator	326	QYR01_RS00465
NZ_CP130430.1	111796	112779	1	plus	Dyp-type peroxidase			protein-coding			WP_010660460.1	Dyp-type peroxidase	327	QYR01_RS00470
NZ_CP130430.1	113248	113781	1	minus	transposase			protein-coding			WP_029928555.1	transposase	177	QYR01_RS00475
NZ_CP130430.1	114120	114806	1	plus	IS6 family transposase			protein-coding			WP_029928553.1	IS6 family transposase	228	QYR01_RS00480
NZ_CP130430.1	115124	115732	1	minus	hypothetical protein			protein-coding			WP_151614793.1	hypothetical protein	202	QYR01_RS00485
NZ_CP130430.1	115744	116073	1	minus	hypothetical protein			protein-coding			WP_010660457.1	hypothetical protein	109	QYR01_RS00490
NZ_CP130430.1	116236	119670	1	minus	autotransporter domain-containing protein			protein-coding			WP_302701162.1	autotransporter domain-containing protein	1144	QYR01_RS00495
NZ_CP130430.1	120004	120528	1	minus	uncharacterized gene			pseudogene						QYR01_RS00500
NZ_CP130430.1	120570	121256	1	minus	IS6 family transposase			protein-coding			WP_036577813.1	IS6 family transposase	228	QYR01_RS00505
NZ_CP130430.1	121528	121824	1	minus	CcdB family protein			protein-coding			WP_010660454.1	CcdB family protein	98	QYR01_RS00510
NZ_CP130430.1	121824	122069	1	minus	type II toxin-antitoxin system CcdA family antitoxin			protein-coding			WP_010660453.1	type II toxin-antitoxin system CcdA family antitoxin	81	QYR01_RS00515
NZ_CP130430.1	122520	123056	1	plus	dihydrofolate reductase family protein			protein-coding			WP_010660452.1	dihydrofolate reductase family protein	178	QYR01_RS00520
NZ_CP130430.1	123128	123637	1	plus	TetR/AcrR family transcriptional regulator			protein-coding			WP_235691795.1	TetR/AcrR family transcriptional regulator	169	QYR01_RS00525
NZ_CP130430.1	123924	124901	1	minus	phosphate acetyltransferase	pta		protein-coding			WP_010660450.1	phosphate acetyltransferase	325	QYR01_RS00530
NZ_CP130430.1	124962	126737	1	minus	sulfoacetaldehyde acetyltransferase	xsc		protein-coding			WP_043063076.1	sulfoacetaldehyde acetyltransferase	591	QYR01_RS00535
NZ_CP130430.1	126752	128401	1	minus	GMC family oxidoreductase			protein-coding			WP_010660447.1	GMC family oxidoreductase	549	QYR01_RS00540
NZ_CP130430.1	128485	129795	1	minus	MFS transporter			protein-coding			WP_051129071.1	MFS transporter	436	QYR01_RS00545
NZ_CP130430.1	130104	130781	1	plus	IclR family transcriptional regulator			protein-coding			WP_010660445.1	IclR family transcriptional regulator	225	QYR01_RS00550
NZ_CP130430.1	131017	132507	1	minus	inorganic phosphate transporter			protein-coding			WP_010660444.1	inorganic phosphate transporter	496	QYR01_RS00555
NZ_CP130430.1	132802	133023	1	plus	uncharacterized gene			pseudogene						QYR01_RS00560
NZ_CP130430.1	134158	134772	1	plus	LysE family translocator			protein-coding			WP_036577792.1	LysE family translocator	204	QYR01_RS00565
NZ_CP130430.1	134982	136496	1	minus	glycine betaine/L-proline transporter ProP	proP		protein-coding			WP_010660441.1	glycine betaine/L-proline transporter ProP	504	QYR01_RS00570
NZ_CP130430.1	136810	136971	1	plus	DUF2269 family protein			protein-coding			WP_302701173.1	DUF2269 family protein	53	QYR01_RS24365
NZ_CP130430.1	137147	138109	1	minus	LysR substrate-binding domain-containing protein			protein-coding			WP_122241733.1	LysR substrate-binding domain-containing protein	320	QYR01_RS00580
NZ_CP130430.1	138739	139680	1	plus	amidohydrolase family protein			protein-coding			WP_010660439.1	amidohydrolase family protein	313	QYR01_RS00585
NZ_CP130430.1	139698	140603	1	plus	amidohydrolase family protein			protein-coding			WP_010660438.1	amidohydrolase family protein	301	QYR01_RS00590
NZ_CP130430.1	140666	142084	1	plus	UbiD family decarboxylase			protein-coding			WP_151612459.1	UbiD family decarboxylase	472	QYR01_RS00595
NZ_CP130430.1	142081	142677	1	plus	UbiX family flavin prenyltransferase			protein-coding			WP_051129070.1	UbiX family flavin prenyltransferase	198	QYR01_RS00600
NZ_CP130430.1	142704	143777	1	plus	CobW family GTP-binding protein			protein-coding			WP_036577799.1	CobW family GTP-binding protein	357	QYR01_RS00605
NZ_CP130430.1	143949	145319	1	plus	nucleobase:cation symporter-2 family protein			protein-coding			WP_036577801.1	nucleobase:cation symporter-2 family protein	456	QYR01_RS00610
NZ_CP130430.1	145463	146761	1	plus	amidohydrolase family protein			protein-coding			WP_122241737.1	amidohydrolase family protein	432	QYR01_RS00615
NZ_CP130430.1	147623	149617	1	plus	DUF4139 domain-containing protein			protein-coding			WP_151614762.1	DUF4139 domain-containing protein	664	QYR01_RS00620
NZ_CP130430.1	149781	150509	1	minus	glutathione S-transferase family protein			protein-coding			WP_036578340.1	glutathione S-transferase family protein	242	QYR01_RS00625
NZ_CP130430.1	150610	151527	1	plus	LysR substrate-binding domain-containing protein			protein-coding			WP_010660430.1	LysR substrate-binding domain-containing protein	305	QYR01_RS00630
NZ_CP130430.1	151496	151892	1	plus	uncharacterized gene			pseudogene						QYR01_RS00635
NZ_CP130430.1	151974	152804	1	minus	DeoR/GlpR family DNA-binding transcription regulator			protein-coding			WP_010660428.1	DeoR/GlpR family DNA-binding transcription regulator	276	QYR01_RS00640
NZ_CP130430.1	153068	156799	1	plus	autotransporter domain-containing protein			protein-coding			WP_166942447.1	autotransporter domain-containing protein	1243	QYR01_RS00645
NZ_CP130430.1	157161	157661	1	plus	RNA polymerase sigma factor			protein-coding			WP_302701183.1	RNA polymerase sigma factor	166	QYR01_RS00650
NZ_CP130430.1	157773	158729	1	plus	FecR family protein			protein-coding			WP_151614765.1	FecR family protein	318	QYR01_RS00655
NZ_CP130430.1	158862	162470	1	plus	TonB-dependent receptor domain-containing protein			protein-coding			WP_278555659.1	TonB-dependent receptor domain-containing protein	1202	QYR01_RS00660
NZ_CP130430.1	162555	163160	1	plus	biliverdin-producing heme oxygenase			protein-coding			WP_094515201.1	biliverdin-producing heme oxygenase	201	QYR01_RS00665
NZ_CP130430.1	163157	163606	1	plus	DUF454 family protein			protein-coding			WP_094515202.1	DUF454 family protein	149	QYR01_RS00670
NZ_CP130430.1	163635	164492	1	plus	TonB family protein			protein-coding			WP_114048298.1	TonB family protein	285	QYR01_RS00675
NZ_CP130430.1	164769	165212	1	minus	DUF2721 domain-containing protein			protein-coding			WP_094515265.1	DUF2721 domain-containing protein	147	QYR01_RS00680
NZ_CP130430.1	165312	166133	1	minus	IclR family transcriptional regulator			protein-coding			WP_094515204.1	IclR family transcriptional regulator	273	QYR01_RS00685
NZ_CP130430.1	166271	167767	1	plus	M81 family metallopeptidase			protein-coding			WP_151612471.1	M81 family metallopeptidase	498	QYR01_RS00690
NZ_CP130430.1	167801	169420	1	plus	ABC transporter substrate-binding protein			protein-coding			WP_151612473.1	ABC transporter substrate-binding protein	539	QYR01_RS00695
NZ_CP130430.1	169523	170464	1	plus	ABC transporter permease			protein-coding			WP_151612475.1	ABC transporter permease	313	QYR01_RS00700
NZ_CP130430.1	170500	171345	1	plus	ABC transporter permease			protein-coding			WP_226622783.1	ABC transporter permease	281	QYR01_RS00705
NZ_CP130430.1	171347	172993	1	plus	ABC transporter ATP-binding protein			protein-coding			WP_151612479.1	ABC transporter ATP-binding protein	548	QYR01_RS00710
NZ_CP130430.1	173060	174241	1	plus	M20 aminoacylase family protein			protein-coding			WP_302701191.1	M20 aminoacylase family protein	393	QYR01_RS00715
NZ_CP130430.1	174238	175371	1	plus	M20/M25/M40 family metallo-hydrolase			protein-coding			WP_114048299.1	M20/M25/M40 family metallo-hydrolase	377	QYR01_RS00720
NZ_CP130430.1	175375	177732	1	plus	penicillin acylase family protein			protein-coding			WP_302701192.1	penicillin acylase family protein	785	QYR01_RS00725
NZ_CP130430.1	178435	182943	1	plus	autotransporter outer membrane beta-barrel domain-containing protein			protein-coding			WP_235907486.1	autotransporter outer membrane beta-barrel domain-containing protein	1502	QYR01_RS00730
NZ_CP130430.1	183061	183270	1	plus	hypothetical protein			protein-coding			WP_094515213.1	hypothetical protein	69	QYR01_RS00735
NZ_CP130430.1	183377	184219	1	plus	DUF3100 domain-containing protein			protein-coding			WP_094515214.1	DUF3100 domain-containing protein	280	QYR01_RS00740
NZ_CP130430.1	184231	184746	1	plus	hypothetical protein			protein-coding			WP_094515215.1	hypothetical protein	171	QYR01_RS00745
NZ_CP130430.1	184806	185966	1	plus	M20 aminoacylase family protein			protein-coding			WP_094515216.1	M20 aminoacylase family protein	386	QYR01_RS00750
NZ_CP130430.1	186030	186935	1	plus	LysR family transcriptional regulator			protein-coding			WP_010660411.1	LysR family transcriptional regulator	301	QYR01_RS00755
NZ_CP130430.1	187077	187964	1	plus	NAD(P)-dependent oxidoreductase			protein-coding			WP_010660410.1	NAD(P)-dependent oxidoreductase	295	QYR01_RS00760
NZ_CP130430.1	187976	189520	1	plus	aldehyde dehydrogenase family protein			protein-coding			WP_151612483.1	aldehyde dehydrogenase family protein	514	QYR01_RS00765
NZ_CP130430.1	189659	190432	1	minus	SDR family oxidoreductase			protein-coding			WP_094515218.1	SDR family oxidoreductase	257	QYR01_RS00770
NZ_CP130430.1	190574	191491	1	plus	LysR family transcriptional regulator			protein-coding			WP_010660407.1	LysR family transcriptional regulator	305	QYR01_RS00775
NZ_CP130430.1	192231	193214	1	plus	DUF1852 domain-containing protein			protein-coding			WP_094515267.1	DUF1852 domain-containing protein	327	QYR01_RS00780
NZ_CP130430.1	193241	194269	1	plus	methionine synthase			protein-coding			WP_094515268.1	methionine synthase	342	QYR01_RS00785
NZ_CP130430.1	194375	194806	1	minus	class I SAM-dependent methyltransferase			protein-coding			WP_010660404.1	class I SAM-dependent methyltransferase	143	QYR01_RS00790
NZ_CP130430.1	195240	195860	1	minus	hypothetical protein			protein-coding			WP_029928543.1	hypothetical protein	206	QYR01_RS00795
NZ_CP130430.1	196414	196662	1	minus	hypothetical protein			protein-coding			WP_010660401.1	hypothetical protein	82	QYR01_RS00800
NZ_CP130430.1	197267	198610	1	minus	uncharacterized gene			pseudogene						QYR01_RS00805
NZ_CP130430.1	198727	199438	1	plus	uncharacterized gene			pseudogene						QYR01_RS00810
NZ_CP130430.1	199695	202073	1	minus	phosphoketolase family protein			protein-coding			WP_094515219.1	phosphoketolase family protein	792	QYR01_RS00815
NZ_CP130430.1	202118	203302	1	minus	acetate/propionate family kinase			protein-coding			WP_094515220.1	acetate/propionate family kinase	394	QYR01_RS00820
NZ_CP130430.1	203914	205227	1	plus	NRAMP family divalent metal transporter			protein-coding			WP_208617829.1	NRAMP family divalent metal transporter	437	QYR01_RS00825
NZ_CP130430.1	205299	205613	1	plus	DUF805 domain-containing protein			protein-coding			WP_432475235.1	DUF805 domain-containing protein	104	QYR01_RS24370
NZ_CP130430.1	206870	208357	1	plus	SulP family inorganic anion transporter			protein-coding			WP_029928529.1	SulP family inorganic anion transporter	495	QYR01_RS00830
NZ_CP130430.1	208620	209675	1	minus	GlxA family transcriptional regulator			protein-coding			WP_302701197.1	GlxA family transcriptional regulator	351	QYR01_RS00835
NZ_CP130430.1	209696	210310	1	plus	cysteine hydrolase family protein			protein-coding			WP_010660386.1	cysteine hydrolase family protein	204	QYR01_RS00840
NZ_CP130430.1	210776	211312	1	minus	ATP-binding protein			protein-coding			WP_010660385.1	ATP-binding protein	178	QYR01_RS00845
NZ_CP130430.1	211686	212758	1	minus	uncharacterized gene			pseudogene						QYR01_RS00850
NZ_CP130430.1	213420	213650	1	plus	type II toxin-antitoxin system VapB family antitoxin	vapB		protein-coding			WP_010660354.1	type II toxin-antitoxin system VapB family antitoxin	76	QYR01_RS00855
NZ_CP130430.1	213650	214051	1	plus	type II toxin-antitoxin system tRNA(fMet)-specific endonuclease VapC	vapC		protein-coding			WP_029928525.1	type II toxin-antitoxin system tRNA(fMet)-specific endonuclease VapC	133	QYR01_RS00860
NZ_CP130430.1	214455	214709	1	plus	hypothetical protein			protein-coding			WP_029928523.1	hypothetical protein	84	QYR01_RS00865
NZ_CP130430.1	214738	215898	1	plus	mandelate racemase/muconate lactonizing enzyme family protein			protein-coding			WP_029928521.1	mandelate racemase/muconate lactonizing enzyme family protein	386	QYR01_RS00870
NZ_CP130430.1	216023	216964	1	plus	LysR substrate-binding domain-containing protein			protein-coding			WP_226622753.1	LysR substrate-binding domain-containing protein	313	QYR01_RS00875
NZ_CP130430.1	217094	218614	1	plus	FAD-dependent oxidoreductase			protein-coding			WP_302701201.1	FAD-dependent oxidoreductase	506	QYR01_RS00880
NZ_CP130430.1	218642	219502	1	plus	transporter substrate-binding domain-containing protein			protein-coding			WP_308669823.1	transporter substrate-binding domain-containing protein	286	QYR01_RS00885
NZ_CP130430.1	219541	220290	1	plus	amino acid ABC transporter permease			protein-coding			WP_029928513.1	amino acid ABC transporter permease	249	QYR01_RS00890
NZ_CP130430.1	220475	221113	1	plus	amino acid ABC transporter permease			protein-coding			WP_235907488.1	amino acid ABC transporter permease	212	QYR01_RS00895
NZ_CP130430.1	221103	221858	1	plus	amino acid ABC transporter ATP-binding protein			protein-coding			WP_029928509.1	amino acid ABC transporter ATP-binding protein	251	QYR01_RS00900
NZ_CP130430.1	221953	223998	1	plus	NAD(P)-binding protein			protein-coding			WP_114048301.1	NAD(P)-binding protein	681	QYR01_RS00905
NZ_CP130430.1	224016	225242	1	minus	NAD(P)/FAD-dependent oxidoreductase			protein-coding			WP_226622752.1	NAD(P)/FAD-dependent oxidoreductase	408	QYR01_RS00910
NZ_CP130430.1	225340	226044	1	minus	HAD-IA family hydrolase			protein-coding			WP_094515227.1	HAD-IA family hydrolase	234	QYR01_RS00915
NZ_CP130430.1	226155	227084	1	plus	LysR family transcriptional regulator			protein-coding			WP_029928501.1	LysR family transcriptional regulator	309	QYR01_RS00920
