Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP130429.1	97167	98210		plus	ABC transporter ATP-binding protein			protein-coding			WP_288969401.1	ABC transporter ATP-binding protein	347	QYR02_RS00425
NZ_CP130429.1	98230	101562		plus	serine hydrolase			protein-coding			WP_302793003.1	serine hydrolase	1110	QYR02_RS00430
NZ_CP130429.1	101562	102716		plus	M20 family metallopeptidase			protein-coding			WP_302793004.1	M20 family metallopeptidase	384	QYR02_RS00435
NZ_CP130429.1	102719	103588		plus	GNAT family N-acetyltransferase			protein-coding			WP_302793005.1	GNAT family N-acetyltransferase	289	QYR02_RS00440
NZ_CP130429.1	103585	104691		plus	o-succinylbenzoate synthase	menC		protein-coding			WP_055864852.1	o-succinylbenzoate synthase	368	QYR02_RS00445
NZ_CP130429.1	104815	106488		plus	helix-turn-helix domain-containing protein			protein-coding			WP_302794640.1	helix-turn-helix domain-containing protein	557	QYR02_RS00450
NZ_CP130429.1	106748	107209		plus	Lrp/AsnC family transcriptional regulator			protein-coding			WP_302793006.1	Lrp/AsnC family transcriptional regulator	153	QYR02_RS00455
NZ_CP130429.1	107238	108170		minus	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase			protein-coding			WP_302793007.1	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	310	QYR02_RS00460
NZ_CP130429.1	108178	109245		minus	L-glyceraldehyde 3-phosphate reductase	mgrA		protein-coding			WP_127482696.1	L-glyceraldehyde 3-phosphate reductase	355	QYR02_RS00465
NZ_CP130429.1	109255	110136		minus	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		protein-coding			WP_055873656.1	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	293	QYR02_RS00470
NZ_CP130429.1	110227	111477		plus	MFS transporter			protein-coding			WP_373695478.1	MFS transporter	416	QYR02_RS00475
NZ_CP130429.1	111456	112334		minus	TatD family hydrolase			protein-coding			WP_141387345.1	TatD family hydrolase	292	QYR02_RS00480
NZ_CP130429.1	112364	113956		minus	methionine--tRNA ligase	metG		protein-coding			WP_127482698.1	methionine--tRNA ligase	530	QYR02_RS00485
NZ_CP130429.1	114018	115559		minus	molybdopterin-dependent oxidoreductase			protein-coding			WP_302793009.1	molybdopterin-dependent oxidoreductase	513	QYR02_RS00490
NZ_CP130429.1	115623	116792		minus	glycoside hydrolase family 1 protein			protein-coding			WP_127482699.1	glycoside hydrolase family 1 protein	389	QYR02_RS00495
NZ_CP130429.1	116831	118558		minus	ABC transporter ATP-binding protein			protein-coding			WP_302793010.1	ABC transporter ATP-binding protein	575	QYR02_RS00500
NZ_CP130429.1	118555	119469		minus	ABC transporter permease			protein-coding			WP_055873668.1	ABC transporter permease	304	QYR02_RS00505
NZ_CP130429.1	119466	120446		minus	ABC transporter permease			protein-coding			WP_017828823.1	ABC transporter permease	326	QYR02_RS00510
NZ_CP130429.1	120443	122134		minus	ABC transporter substrate-binding protein			protein-coding			WP_302793011.1	ABC transporter substrate-binding protein	563	QYR02_RS00515
NZ_CP130429.1	122241	123347		minus	LacI family DNA-binding transcriptional regulator			protein-coding			WP_302793012.1	LacI family DNA-binding transcriptional regulator	368	QYR02_RS00520
NZ_CP130429.1	123344	124177		minus	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		protein-coding			WP_302793013.1	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	277	QYR02_RS00525
NZ_CP130429.1	124240	125793		plus	dolichyl-phosphate-mannose--protein mannosyltransferase			protein-coding			WP_302793014.1	dolichyl-phosphate-mannose--protein mannosyltransferase	517	QYR02_RS00530
NZ_CP130429.1	125798	126286		minus	Lrp/AsnC family transcriptional regulator			protein-coding			WP_017828828.1	Lrp/AsnC family transcriptional regulator	162	QYR02_RS00535
NZ_CP130429.1	126289	127692		minus	amino acid permease			protein-coding			WP_302793015.1	amino acid permease	467	QYR02_RS00540
NZ_CP130429.1	127689	128780		minus	histidinol-phosphate transaminase	hisC		protein-coding			WP_302793016.1	histidinol-phosphate transaminase	363	QYR02_RS00545
NZ_CP130429.1	128957	129691		minus	formylglycine-generating enzyme family protein			protein-coding			WP_302793017.1	formylglycine-generating enzyme family protein	244	QYR02_RS00550
NZ_CP130429.1	129757	131559		minus	thioredoxin domain-containing protein			protein-coding			WP_302793018.1	thioredoxin domain-containing protein	600	QYR02_RS00555
NZ_CP130429.1	131593	132162		minus	FMN reductase	msuE		protein-coding			WP_055864902.1	FMN reductase	189	QYR02_RS00560
NZ_CP130429.1	132253	133089		minus	aldo/keto reductase			protein-coding			WP_302793019.1	aldo/keto reductase	278	QYR02_RS00565
NZ_CP130429.1	133194	133928		plus	hypothetical protein			protein-coding			WP_302793020.1	hypothetical protein	244	QYR02_RS00570
NZ_CP130429.1	133968	134585		minus	TetR/AcrR family transcriptional regulator			protein-coding			WP_235563114.1	TetR/AcrR family transcriptional regulator	205	QYR02_RS00575
NZ_CP130429.1	134711	135496		plus	SDR family NAD(P)-dependent oxidoreductase			protein-coding			WP_302793021.1	SDR family NAD(P)-dependent oxidoreductase	261	QYR02_RS00580
NZ_CP130429.1	135548	138805		minus	LamG-like jellyroll fold domain-containing protein			protein-coding			WP_302793022.1	LamG-like jellyroll fold domain-containing protein	1085	QYR02_RS00585
NZ_CP130429.1	139034	140236		minus	heparan-alpha-glucosaminide N-acetyltransferase domain-containing protein			protein-coding			WP_302793023.1	heparan-alpha-glucosaminide N-acetyltransferase domain-containing protein	400	QYR02_RS00590
NZ_CP130429.1	140300	144250		plus	ATP-dependent RNA helicase HrpA	hrpA		protein-coding			WP_302793024.1	ATP-dependent RNA helicase HrpA	1316	QYR02_RS00595
NZ_CP130429.1	144290	145234		plus	quinone oxidoreductase family protein			protein-coding			WP_288968959.1	quinone oxidoreductase family protein	314	QYR02_RS00600
NZ_CP130429.1	145251	145859		minus	alkylhydroperoxidase domain protein			protein-coding			WP_302793025.1	alkylhydroperoxidase domain protein	202	QYR02_RS00605
NZ_CP130429.1	145856	146476		minus	CMD domain protein			protein-coding			WP_302793026.1	CMD domain protein	206	QYR02_RS00610
NZ_CP130429.1	146473	147528		minus	putative FMN-dependent luciferase-like monooxygenase			protein-coding			WP_127482714.1	putative FMN-dependent luciferase-like monooxygenase	351	QYR02_RS00615
NZ_CP130429.1	147525	149141		minus	dipeptide ABC transporter ATP-binding protein			protein-coding			WP_302793027.1	dipeptide ABC transporter ATP-binding protein	538	QYR02_RS00620
NZ_CP130429.1	149138	150034		minus	ABC transporter permease			protein-coding			WP_302793028.1	ABC transporter permease	298	QYR02_RS00625
NZ_CP130429.1	150031	151011		minus	ABC transporter permease			protein-coding			WP_302793029.1	ABC transporter permease	326	QYR02_RS00630
NZ_CP130429.1	151028	152662		minus	TIGR04028 family ABC transporter substrate-binding protein			protein-coding			WP_302793030.1	TIGR04028 family ABC transporter substrate-binding protein	544	QYR02_RS00635
NZ_CP130429.1	152825	154237		minus	NtaA/DmoA family FMN-dependent monooxygenase			protein-coding			WP_302793031.1	NtaA/DmoA family FMN-dependent monooxygenase	470	QYR02_RS00640
NZ_CP130429.1	154342	155328		plus	Gfo/Idh/MocA family protein			protein-coding			WP_127482719.1	Gfo/Idh/MocA family protein	328	QYR02_RS00645
NZ_CP130429.1	155331	156329		plus	NYN domain-containing protein			protein-coding			WP_055873726.1	NYN domain-containing protein	332	QYR02_RS00650
NZ_CP130429.1	156387	157526		minus	Gfo/Idh/MocA family protein			protein-coding			WP_302793032.1	Gfo/Idh/MocA family protein	379	QYR02_RS00655
NZ_CP130429.1	157526	158332		minus	sugar phosphate isomerase/epimerase family protein			protein-coding			WP_055873734.1	sugar phosphate isomerase/epimerase family protein	268	QYR02_RS00660
NZ_CP130429.1	158441	159058		plus	TetR/AcrR family transcriptional regulator			protein-coding			WP_055864956.1	TetR/AcrR family transcriptional regulator	205	QYR02_RS00665
NZ_CP130429.1	159111	159743		plus	DUF4166 domain-containing protein			protein-coding			WP_055873736.1	DUF4166 domain-containing protein	210	QYR02_RS00670
NZ_CP130429.1	159740	160726		plus	epimerase			protein-coding			WP_055873739.1	epimerase	328	QYR02_RS00675
NZ_CP130429.1	160723	161112		minus	PLDc N-terminal domain-containing protein			protein-coding			WP_055873742.1	PLDc N-terminal domain-containing protein	129	QYR02_RS00680
NZ_CP130429.1	161151	162080		minus	aldo/keto reductase			protein-coding			WP_302793033.1	aldo/keto reductase	309	QYR02_RS00685
NZ_CP130429.1	162113	162322		minus	helix-turn-helix domain-containing protein			protein-coding			WP_017828859.1	helix-turn-helix domain-containing protein	69	QYR02_RS00690
NZ_CP130429.1	162438	162812		plus	helix-turn-helix domain-containing protein			protein-coding			WP_229778820.1	helix-turn-helix domain-containing protein	124	QYR02_RS00695
NZ_CP130429.1	162860	163249		plus	ImmA/IrrE family metallo-endopeptidase			protein-coding			WP_302793034.1	ImmA/IrrE family metallo-endopeptidase	129	QYR02_RS00700
NZ_CP130429.1	163258	163860		plus	GNAT family N-acetyltransferase			protein-coding			WP_055873748.1	GNAT family N-acetyltransferase	200	QYR02_RS00705
NZ_CP130429.1	163903	164130		minus	hypothetical protein			protein-coding			WP_229778819.1	hypothetical protein	75	QYR02_RS00710
NZ_CP130429.1	164197	164808		plus	flavodoxin family protein			protein-coding			WP_055864979.1	flavodoxin family protein	203	QYR02_RS00715
NZ_CP130429.1	164854	165894		minus	hypothetical protein			protein-coding			WP_055864982.1	hypothetical protein	346	QYR02_RS00720
NZ_CP130429.1	166215	167249		plus	linear amide C-N hydrolase			protein-coding			WP_235562446.1	linear amide C-N hydrolase	344	QYR02_RS00725
NZ_CP130429.1	167287	167847		plus	HdeD family acid-resistance protein			protein-coding			WP_055864985.1	HdeD family acid-resistance protein	186	QYR02_RS00730
NZ_CP130429.1	167912	169459		minus	helix-turn-helix transcriptional regulator			protein-coding			WP_157559417.1	helix-turn-helix transcriptional regulator	515	QYR02_RS00735
NZ_CP130429.1	169755	170654		minus	DMT family transporter			protein-coding			WP_055864992.1	DMT family transporter	299	QYR02_RS00740
NZ_CP130429.1	170657	171826		minus	cation:proton antiporter			protein-coding			WP_302793035.1	cation:proton antiporter	389	QYR02_RS00745
NZ_CP130429.1	171830	172501		minus	GAP family protein			protein-coding			WP_055873765.1	GAP family protein	223	QYR02_RS00750
NZ_CP130429.1	172498	173658		minus	hypothetical protein			protein-coding			WP_055873767.1	hypothetical protein	386	QYR02_RS00755
NZ_CP130429.1	173655	174368		minus	hypothetical protein			protein-coding			WP_055865005.1	hypothetical protein	237	QYR02_RS00760
NZ_CP130429.1	174452	175861		minus	glutamate decarboxylase			protein-coding			WP_055873771.1	glutamate decarboxylase	469	QYR02_RS00765
NZ_CP130429.1	175937	177883		minus	YhgE/Pip domain-containing protein			protein-coding			WP_055865010.1	YhgE/Pip domain-containing protein	648	QYR02_RS00770
NZ_CP130429.1	177880	178650		minus	ATP-binding cassette domain-containing protein			protein-coding			WP_200935149.1	ATP-binding cassette domain-containing protein	256	QYR02_RS00775
NZ_CP130429.1	178703	179986		minus	metal-dependent hydrolase family protein			protein-coding			WP_055873774.1	metal-dependent hydrolase family protein	427	QYR02_RS00780
NZ_CP130429.1	180184	180432		plus	LapA family protein			protein-coding			WP_055865014.1	LapA family protein	82	QYR02_RS00785
NZ_CP130429.1	180550	182145		plus	helix-turn-helix transcriptional regulator			protein-coding			WP_302793036.1	helix-turn-helix transcriptional regulator	531	QYR02_RS00790
NZ_CP130429.1	182187	183509		plus	threonine/serine exporter family protein			protein-coding			WP_302793037.1	threonine/serine exporter family protein	440	QYR02_RS00795
NZ_CP130429.1	183708	184685		minus	class 1b ribonucleoside-diphosphate reductase subunit beta	nrdF		protein-coding			WP_017828866.1	class 1b ribonucleoside-diphosphate reductase subunit beta	325	QYR02_RS00800
NZ_CP130429.1	184738	186882		minus	class 1b ribonucleoside-diphosphate reductase subunit alpha	nrdE		protein-coding			WP_017828867.1	class 1b ribonucleoside-diphosphate reductase subunit alpha	714	QYR02_RS00805
NZ_CP130429.1	186879	187313		minus	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI	nrdI		protein-coding			WP_302793038.1	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI	144	QYR02_RS00810
NZ_CP130429.1	187320	187553		minus	glutaredoxin-like protein NrdH	nrdH		protein-coding			WP_017828869.1	glutaredoxin-like protein NrdH	77	QYR02_RS00815
NZ_CP130429.1	187990	189153		plus	MFS transporter			protein-coding			WP_017828870.1	MFS transporter	387	QYR02_RS00820
NZ_CP130429.1	189150	190067		plus	sugar kinase			protein-coding			WP_302793039.1	sugar kinase	305	QYR02_RS00825
NZ_CP130429.1	190124	190882		plus	alpha/beta fold hydrolase			protein-coding			WP_302793040.1	alpha/beta fold hydrolase	252	QYR02_RS00830
NZ_CP130429.1	190879	192039		plus	acyl-CoA dehydrogenase family protein			protein-coding			WP_302793041.1	acyl-CoA dehydrogenase family protein	386	QYR02_RS00835
NZ_CP130429.1	192124	192591		plus	Lrp/AsnC family transcriptional regulator			protein-coding			WP_017828874.1	Lrp/AsnC family transcriptional regulator	155	QYR02_RS00840
NZ_CP130429.1	192588	193982		plus	aspartate aminotransferase family protein			protein-coding			WP_055873797.1	aspartate aminotransferase family protein	464	QYR02_RS00845
NZ_CP130429.1	194011	195552		minus	PucR family transcriptional regulator			protein-coding			WP_302794641.1	PucR family transcriptional regulator	513	QYR02_RS00850
NZ_CP130429.1	195655	197139		plus	CoA-acylating methylmalonate-semialdehyde dehydrogenase			protein-coding			WP_302793042.1	CoA-acylating methylmalonate-semialdehyde dehydrogenase	494	QYR02_RS00855
NZ_CP130429.1	197154	198542		plus	aspartate aminotransferase family protein			protein-coding			WP_302793043.1	aspartate aminotransferase family protein	462	QYR02_RS00860
NZ_CP130429.1	198622	200283		minus	amidohydrolase			protein-coding			WP_302793044.1	amidohydrolase	553	QYR02_RS00865
NZ_CP130429.1	200286	201161		minus	ABC transporter permease			protein-coding			WP_302793045.1	ABC transporter permease	291	QYR02_RS00870
NZ_CP130429.1	201158	202042		minus	ABC transporter permease			protein-coding			WP_302793046.1	ABC transporter permease	294	QYR02_RS00875
NZ_CP130429.1	202035	203213		minus	polyamine ABC transporter substrate-binding protein			protein-coding			WP_302793047.1	polyamine ABC transporter substrate-binding protein	392	QYR02_RS00880
NZ_CP130429.1	203210	204370		minus	ABC transporter ATP-binding protein			protein-coding			WP_302793048.1	ABC transporter ATP-binding protein	386	QYR02_RS00885
NZ_CP130429.1	204508	205236		minus	FadR/GntR family transcriptional regulator			protein-coding			WP_017828884.1	FadR/GntR family transcriptional regulator	242	QYR02_RS00890
