Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP129672.1	117444	118424		minus	Bug family tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_301445889.1	Bug family tripartite tricarboxylate transporter substrate binding protein	326	QYQ99_RS00495
NZ_CP129672.1	118539	119447		plus	LysR substrate-binding domain-containing protein			protein-coding			WP_301445888.1	LysR substrate-binding domain-containing protein	302	QYQ99_RS00500
NZ_CP129672.1	119484	122894		minus	DNA polymerase III subunit alpha	dnaE		protein-coding			WP_302090935.1	DNA polymerase III subunit alpha	1136	QYQ99_RS00505
NZ_CP129672.1	122887	124419		minus	hypothetical protein			protein-coding			WP_302090936.1	hypothetical protein	510	QYQ99_RS00510
NZ_CP129672.1	124421	125293		minus	translesion DNA synthesis-associated protein ImuA	imuA		protein-coding			WP_302090937.1	translesion DNA synthesis-associated protein ImuA	290	QYQ99_RS00515
NZ_CP129672.1	125628	126980		minus	HD-GYP domain-containing protein			protein-coding			WP_302090938.1	HD-GYP domain-containing protein	450	QYQ99_RS00520
NZ_CP129672.1	127178	127816		minus	3-oxoacid CoA-transferase subunit B			protein-coding			WP_302090939.1	3-oxoacid CoA-transferase subunit B	212	QYQ99_RS00525
NZ_CP129672.1	127847	128323		minus	DUF3806 domain-containing protein			protein-coding			WP_302090940.1	DUF3806 domain-containing protein	158	QYQ99_RS00530
NZ_CP129672.1	128327	129025		minus	CoA transferase subunit A			protein-coding			WP_302090941.1	CoA transferase subunit A	232	QYQ99_RS00535
NZ_CP129672.1	129100	129642		plus	PAS and helix-turn-helix domain-containing protein			protein-coding			WP_302090942.1	PAS and helix-turn-helix domain-containing protein	180	QYQ99_RS00540
NZ_CP129672.1	129986	132187		plus	catalase/peroxidase HPI	katG		protein-coding			WP_302090943.1	catalase/peroxidase HPI	733	QYQ99_RS00545
NZ_CP129672.1	132295	132543		minus	hypothetical protein			protein-coding			WP_302090944.1	hypothetical protein	82	QYQ99_RS00550
NZ_CP129672.1	132699	133169		plus	CopD family protein			protein-coding			WP_302090945.1	CopD family protein	156	QYQ99_RS00555
NZ_CP129672.1	133390	133965		plus	MarR family winged helix-turn-helix transcriptional regulator			protein-coding			WP_302090946.1	MarR family winged helix-turn-helix transcriptional regulator	191	QYQ99_RS00560
NZ_CP129672.1	134026	135510		plus	efflux transporter outer membrane subunit			protein-coding			WP_302090947.1	efflux transporter outer membrane subunit	494	QYQ99_RS00565
NZ_CP129672.1	135663	136967		plus	HlyD family efflux transporter periplasmic adaptor subunit			protein-coding			WP_302090948.1	HlyD family efflux transporter periplasmic adaptor subunit	434	QYQ99_RS00570
NZ_CP129672.1	136983	138626		plus	DHA2 family efflux MFS transporter permease subunit			protein-coding			WP_302090949.1	DHA2 family efflux MFS transporter permease subunit	547	QYQ99_RS00575
NZ_CP129672.1	138696	139025		minus	hypothetical protein			protein-coding			WP_302090950.1	hypothetical protein	109	QYQ99_RS00580
NZ_CP129672.1	139176	140258		plus	MBL fold metallo-hydrolase			protein-coding			WP_302090951.1	MBL fold metallo-hydrolase	360	QYQ99_RS00585
NZ_CP129672.1	140290	140847		plus	energy transducer TonB			protein-coding			WP_302090952.1	energy transducer TonB	185	QYQ99_RS00590
NZ_CP129672.1	141256	142392		plus	glycine cleavage system aminomethyltransferase GcvT	gcvT		protein-coding			WP_302090953.1	glycine cleavage system aminomethyltransferase GcvT	378	QYQ99_RS00595
NZ_CP129672.1	142515	142889		plus	glycine cleavage system protein GcvH	gcvH		protein-coding			WP_302090954.1	glycine cleavage system protein GcvH	124	QYQ99_RS00600
NZ_CP129672.1	142937	143488		plus	MolR family transcriptional regulator			protein-coding			WP_302090955.1	MolR family transcriptional regulator	183	QYQ99_RS00605
NZ_CP129672.1	143579	146482		plus	aminomethyl-transferring glycine dehydrogenase	gcvP		protein-coding			WP_302090956.1	aminomethyl-transferring glycine dehydrogenase	967	QYQ99_RS00610
NZ_CP129672.1	146726	148906		plus	PAS domain-containing hybrid sensor histidine kinase/response regulator			protein-coding			WP_302090957.1	PAS domain-containing hybrid sensor histidine kinase/response regulator	726	QYQ99_RS00615
NZ_CP129672.1	148927	149589		plus	RluA family pseudouridine synthase			protein-coding			WP_302090958.1	RluA family pseudouridine synthase	220	QYQ99_RS00620
NZ_CP129672.1	149939	151060		plus	branched-chain amino acid ABC transporter substrate-binding protein			protein-coding			WP_302090959.1	branched-chain amino acid ABC transporter substrate-binding protein	373	QYQ99_RS00625
NZ_CP129672.1	151157	152080		plus	high-affinity branched-chain amino acid ABC transporter permease LivH	livH		protein-coding			WP_302090960.1	high-affinity branched-chain amino acid ABC transporter permease LivH	307	QYQ99_RS00630
NZ_CP129672.1	152080	153318		plus	high-affinity branched-chain amino acid ABC transporter permease LivM			protein-coding			WP_302090961.1	high-affinity branched-chain amino acid ABC transporter permease LivM	412	QYQ99_RS00635
NZ_CP129672.1	153374	154141		plus	high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG	livG		protein-coding			WP_302090962.1	high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG	255	QYQ99_RS00640
NZ_CP129672.1	154141	154854		plus	ABC transporter ATP-binding protein			protein-coding			WP_080995877.1	ABC transporter ATP-binding protein	237	QYQ99_RS00645
NZ_CP129672.1	154947	155711		plus	SDR family NAD(P)-dependent oxidoreductase			protein-coding			WP_302090963.1	SDR family NAD(P)-dependent oxidoreductase	254	QYQ99_RS00650
NZ_CP129672.1	156235	157218		plus	Bug family tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_302090964.1	Bug family tripartite tricarboxylate transporter substrate binding protein	327	QYQ99_RS00655
NZ_CP129672.1	157304	157861		plus	bacteriohemerythrin			protein-coding			WP_302090965.1	bacteriohemerythrin	185	QYQ99_RS00660
NZ_CP129672.1	157928	158365		minus	universal stress protein			protein-coding			WP_003079494.1	universal stress protein	145	QYQ99_RS00665
NZ_CP129672.1	158523	158996		minus	hypothetical protein			protein-coding			WP_302090966.1	hypothetical protein	157	QYQ99_RS00670
NZ_CP129672.1	159193	159972		minus	2OG-Fe dioxygenase family protein			protein-coding			WP_302090967.1	2OG-Fe dioxygenase family protein	259	QYQ99_RS00675
NZ_CP129672.1	160184	161359		minus	4-hydroxybenzoate 3-monooxygenase	pobA		protein-coding			WP_302090968.1	4-hydroxybenzoate 3-monooxygenase	391	QYQ99_RS00680
NZ_CP129672.1	161540	162328		plus	IclR family transcriptional regulator domain-containing protein			protein-coding			WP_302090969.1	IclR family transcriptional regulator domain-containing protein	262	QYQ99_RS00685
NZ_CP129672.1	162474	163385		minus	LysR family transcriptional regulator			protein-coding			WP_034352381.1	LysR family transcriptional regulator	303	QYQ99_RS00690
NZ_CP129672.1	163574	164572		plus	Bug family tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_302090970.1	Bug family tripartite tricarboxylate transporter substrate binding protein	332	QYQ99_RS00695
NZ_CP129672.1	164693	166033		minus	MFS transporter			protein-coding			WP_302090971.1	MFS transporter	446	QYQ99_RS00700
NZ_CP129672.1	166372	167427		plus	ubiquinol oxidase subunit II	cyoA		protein-coding			WP_302090972.1	ubiquinol oxidase subunit II	351	QYQ99_RS00705
NZ_CP129672.1	167490	169496		plus	cytochrome o ubiquinol oxidase subunit I	cyoB		protein-coding			WP_302090973.1	cytochrome o ubiquinol oxidase subunit I	668	QYQ99_RS00710
NZ_CP129672.1	169489	170121		plus	cytochrome o ubiquinol oxidase subunit III	cyoC		protein-coding			WP_003055501.1	cytochrome o ubiquinol oxidase subunit III	210	QYQ99_RS00715
NZ_CP129672.1	170122	170547		plus	cytochrome o ubiquinol oxidase subunit IV	cyoD		protein-coding			WP_302090974.1	cytochrome o ubiquinol oxidase subunit IV	141	QYQ99_RS00720
NZ_CP129672.1	170556	171338		plus	SURF1 family protein			protein-coding			WP_302090975.1	SURF1 family protein	260	QYQ99_RS00725
NZ_CP129672.1	171459	172760		plus	ATP-binding protein			protein-coding			WP_302090976.1	ATP-binding protein	433	QYQ99_RS00730
NZ_CP129672.1	172776	173312		plus	response regulator transcription factor			protein-coding			WP_302090977.1	response regulator transcription factor	178	QYQ99_RS00735
NZ_CP129672.1	173469	173897		plus	polymerase			protein-coding			WP_302090978.1	polymerase	142	QYQ99_RS00740
NZ_CP129672.1	174022	174273		plus	hypothetical protein			protein-coding			WP_302090979.1	hypothetical protein	83	QYQ99_RS00745
NZ_CP129672.1	174653	176977		minus	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA		protein-coding			WP_302090980.1	ATP-dependent Clp protease ATP-binding subunit ClpA	774	QYQ99_RS00750
NZ_CP129672.1	177040	177405		minus	ATP-dependent Clp protease adapter ClpS	clpS		protein-coding			WP_034349666.1	ATP-dependent Clp protease adapter ClpS	121	QYQ99_RS00755
NZ_CP129672.1	177605	181138		minus	DNA polymerase III subunit alpha	dnaE		protein-coding			WP_302090981.1	DNA polymerase III subunit alpha	1177	QYQ99_RS00760
NZ_CP129672.1	181378	182169		plus	outer membrane protein assembly factor BamD			protein-coding			WP_302090982.1	outer membrane protein assembly factor BamD	263	QYQ99_RS00765
NZ_CP129672.1	182227	184305		minus	ATP-dependent DNA helicase			protein-coding			WP_302090983.1	ATP-dependent DNA helicase	692	QYQ99_RS00770
NZ_CP129672.1	184442	185215		plus	PP2C family protein-serine/threonine phosphatase			protein-coding			WP_302090984.1	PP2C family protein-serine/threonine phosphatase	257	QYQ99_RS00775
NZ_CP129672.1	185321	186082		minus	hypothetical protein			protein-coding			WP_302090985.1	hypothetical protein	253	QYQ99_RS00780
NZ_CP129672.1	186151	187248		minus	cell division protein ZapE	zapE		protein-coding			WP_302090986.1	cell division protein ZapE	365	QYQ99_RS00785
NZ_CP129672.1	187402	188829		minus	dihydrolipoyl dehydrogenase	lpdA		protein-coding			WP_302090987.1	dihydrolipoyl dehydrogenase	475	QYQ99_RS00790
NZ_CP129672.1	188911	190152		minus	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	odhB		protein-coding			WP_302090988.1	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	413	QYQ99_RS00795
NZ_CP129672.1	190216	193095		minus	2-oxoglutarate dehydrogenase E1 component			protein-coding			WP_034375832.1	2-oxoglutarate dehydrogenase E1 component	959	QYQ99_RS00800
NZ_CP129672.1	193316	194491		plus	AI-2E family transporter			protein-coding			WP_302090989.1	AI-2E family transporter	391	QYQ99_RS00805
NZ_CP129672.1	194725	197790		plus	formate dehydrogenase-N subunit alpha	fdnG		protein-coding			WP_302090990.1	formate dehydrogenase-N subunit alpha	1021	QYQ99_RS00810
NZ_CP129672.1	197803	198732		plus	formate dehydrogenase subunit beta	fdxH		protein-coding			WP_302090991.1	formate dehydrogenase subunit beta	309	QYQ99_RS00815
NZ_CP129672.1	198729	199355		plus	formate dehydrogenase subunit gamma			protein-coding			WP_003066500.1	formate dehydrogenase subunit gamma	208	QYQ99_RS00820
NZ_CP129672.1	199438	200403		plus	formate dehydrogenase accessory protein FdhE	fdhE		protein-coding			WP_302090992.1	formate dehydrogenase accessory protein FdhE	321	QYQ99_RS00825
NZ_CP129672.1	200493	201932		plus	L-seryl-tRNA(Sec) selenium transferase	selA		protein-coding			WP_302090993.1	L-seryl-tRNA(Sec) selenium transferase	479	QYQ99_RS00830
NZ_CP129672.1	202030	203955		plus	selenocysteine-specific translation elongation factor	selB		protein-coding			WP_302090994.1	selenocysteine-specific translation elongation factor	641	QYQ99_RS00835
NZ_CP129672.1	204139	204234		plus	tRNA-Sec			tRNA						QYQ99_RS00840
NZ_CP129672.1	204299	206077		plus	site-specific integrase			protein-coding			WP_302090995.1	site-specific integrase	592	QYQ99_RS00845
NZ_CP129672.1	206665	207267		minus	recombinase family protein			protein-coding			WP_302090996.1	recombinase family protein	200	QYQ99_RS00850
NZ_CP129672.1	207346	207897		minus	hypothetical protein			protein-coding			WP_302090997.1	hypothetical protein	183	QYQ99_RS00855
NZ_CP129672.1	208035	208843		minus	IS5 family transposase			protein-coding			WP_302093079.1	IS5 family transposase	269	QYQ99_RS00860
NZ_CP129672.1	209564	210268		minus	Crp/Fnr family transcriptional regulator			protein-coding			WP_302090998.1	Crp/Fnr family transcriptional regulator	234	QYQ99_RS00865
NZ_CP129672.1	210484	211290		minus	oxidoreductase			protein-coding			WP_302090999.1	oxidoreductase	268	QYQ99_RS00870
NZ_CP129672.1	211333	214401		minus	efflux RND transporter permease subunit			protein-coding			WP_302091000.1	efflux RND transporter permease subunit	1022	QYQ99_RS00875
NZ_CP129672.1	214398	215519		minus	efflux RND transporter periplasmic adaptor subunit			protein-coding			WP_302091001.1	efflux RND transporter periplasmic adaptor subunit	373	QYQ99_RS00880
NZ_CP129672.1	215608	216225		minus	TetR/AcrR family transcriptional regulator			protein-coding			WP_302091002.1	TetR/AcrR family transcriptional regulator	205	QYQ99_RS00885
