,Shannon index,Simpson index,Auxotroph index,Prototroph index,CS,CS class,N CS
B10,1.0711480598799268,0.39969135802469136,0.3333333333333333,0.5277777777777778,Glutamate,Amino acid,1
B11,1.1398708143340748,0.3687879334174629,0.32558139534883723,0.49612403100775193,Glutamate,Amino acid,1
B12,1.0658100153931462,0.4210197710718001,0.25161290322580643,0.5870967741935483,Glutamate,Amino acid,1
C1,0.9357004780625887,0.4403413742865113,0.33789219629927597,0.5631536604987932,Histidine,Amino acid,1
C2,0.9800109381136047,0.4093876732649228,0.42240300375469336,0.4693366708385482,Histidine,Amino acid,1
C3,1.0982849488028794,0.35421064877264047,0.4540023894862604,0.3106332138590203,Histidine,Amino acid,1
C4,0.3513849199928033,0.841813683696878,0.04577887226116057,0.9155774452232115,Isoleucine,Amino acid,1
C5,0.19859142283725623,0.9223563595555783,0.02370314185145241,0.9599772449838226,Isoleucine,Amino acid,1
C6,0.1643903137301539,0.9387928767836805,0.01734931397920974,0.9686700305058771,Isoleucine,Amino acid,1
C7,1.2665766605548618,0.3002932098765432,0.3611111111111111,0.23055555555555557,Malate,Organic acid,1
C8,1.131430291904136,0.3569319747460219,0.4085603112840467,0.14785992217898833,Malate,Organic acid,1
C9,1.2708794991550347,0.30092592592592593,0.3888888888888889,0.2222222222222222,Malate,Organic acid,1
C10,0.25093982767820294,0.8979335787615585,0.008488410055501142,0.9467841984982044,Mannitol,Other,1
C11,0.21069663398019153,0.9167850080698701,0.006578947368421052,0.9569377990430622,Mannitol,Other,1
C12,0.19114383221425885,0.9267200231669922,0.008103317295517852,0.962268928842745,Mannitol,Other,1
D1,0.3701998101315337,0.8433633003748183,0.042787286063569685,0.9168704156479217,Mannose,Sugar,1
D2,0.2628557434261035,0.8974804269681376,0.02254283137962128,0.9467989179440938,Mannose,Sugar,1
D3,0.4179431369813992,0.8165685890694342,0.05108173076923077,0.9014423076923077,Mannose,Sugar,1
D4,0.317921466918795,0.8653547901959256,0.028585040495474036,0.9290138161029061,Myo-inositol,Other,1
D5,0.3448378896331078,0.8502749523915119,0.030683403068340307,0.9205020920502092,Myo-inositol,Other,1
D6,0.2674282204858419,0.8895748875097783,0.020684900022983222,0.9423121121581246,Myo-inositol,Other,1
D7,0.09666040775228724,0.9688511269383651,0.008202099737532808,0.984251968503937,Xylose,Sugar,1
D8,0.15136276041535213,0.9464120485334397,0.015516442797591477,0.9726725335803613,Xylose,Sugar,1
D9,0.07718226926500554,0.9762048997728462,0.005786873676781934,0.9880028228652082,Xylose,Sugar,1
D10,0.7434472709887988,0.5200920697502608,0.3468208092485549,0.6319845857418112,Ribose,Sugar,1
D11,0.6347753508297764,0.6111302029212823,0.2376237623762376,0.7445544554455445,Ribose,Sugar,1
D12,0.6967940529707777,0.5693096511974833,0.2726555212743058,0.7031642390758412,Ribose,Sugar,1
E1,1.0692715177355516,0.3857552186550403,0.40229885057471265,0.45977011494252873,Citrate + Glucose,Mix,2
E2,1.0681601834767545,0.38090583866682765,0.3983516483516483,0.4532967032967033,Citrate + Glucose,Mix,2
E3,1.0762460969826413,0.37994907523993393,0.3349282296650718,0.4944178628389155,Citrate + Glucose,Mix,2
E4,0.9015072165784992,0.4474112890400627,0.04508812679327777,0.4918704741084848,Glycerol + Isoleucine,Mix,2
E5,0.8954400114273694,0.4690523370865788,0.049156152711781094,0.589873832541373,Glycerol + Isoleucine,Mix,2
E6,0.9584195543014937,0.42868165019560234,0.05876747141041931,0.4764930114358323,Glycerol + Isoleucine,Mix,2
E7,1.0184468505967004,0.4151183673469387,0.5142857142857142,0.38095238095238093,Glutarate + Inosine,Mix,2
E8,1.0067181169652106,0.41771738994065766,0.5112474437627812,0.3885480572597137,Glutarate + Inosine,Mix,2
E9,1.006892767247407,0.414324526765511,0.43618739903069464,0.46849757673667203,Glutarate + Inosine,Mix,2
E10,1.1487651841198323,0.3820402366863906,0.5538461538461539,0.2246153846153846,Malate + Citrate,Mix,2
E11,1.0994349443703608,0.40423652202498345,0.5769230769230769,0.20833333333333334,Malate + Citrate,Mix,2
E12,0.9032625116285462,0.5372640270219553,0.7123287671232876,0.12054794520547946,Malate + Citrate,Mix,2
F1,1.2046361913310215,0.3287899087858438,0.42769857433808556,0.3258655804480652,Acetate + Alanine,Mix,2
F2,1.24571870016654,0.31095041322314054,0.4090909090909091,0.29545454545454547,Acetate + Alanine,Mix,2
F3,1.194265284417921,0.34290452653485953,0.4838709677419355,0.2620967741935484,Acetate + Alanine,Mix,2
F4,0.7678542025970831,0.5974768089053804,0.06753246753246753,0.7532467532467533,Glutamate + Mannose,Mix,2
F5,0.7432863929819903,0.6110472724951322,0.05367231638418079,0.7627118644067796,Glutamate + Mannose,Mix,2
F6,0.7215762432479422,0.6136891861707586,0.044226044226044224,0.7616707616707616,Glutamate + Mannose,Mix,2
F7,0.6989234395765989,0.6434432340092129,0.09131293188548864,0.7897334649555775,Histidine + Mannose,Mix,2
F8,0.7470624277076544,0.6121782163539217,0.10477894198824432,0.7666751852798365,Histidine + Mannose,Mix,2
F9,0.6518909118196228,0.6686154797061006,0.08070094535393128,0.8070094535393129,Histidine + Mannose,Mix,2
F10,0.7210586583136598,0.610440447784975,0.030855539971949508,0.7573632538569425,Mannitol + Acetate,Mix,2
F11,0.7780939741997418,0.5585683409997155,0.02824478816408877,0.7061197041022192,Mannitol + Acetate,Mix,2
F12,0.7680201804148994,0.5508657342000719,0.025966532025389497,0.6924408540103866,Mannitol + Acetate,Mix,2
G1,0.7630565628296615,0.5792482508790338,0.05346088913899831,0.7315700619020822,Myo-inositol + Glutamate,Mix,2
G2,0.7596399454481035,0.5698418252682755,0.03948312993539124,0.7178750897343862,Myo-inositol + Glutamate,Mix,2
G3,0.7574910683156999,0.5759324912283913,0.048411497730711045,0.7261724659606656,Myo-inositol + Glutamate,Mix,2
G4,1.0170997730970401,0.4218055555555556,0.09166666666666666,0.5555555555555556,Ribose + Glutarate,Mix,2
G5,1.0296126483496384,0.44080339242985556,0.0729483282674772,0.60790273556231,Ribose + Glutarate,Mix,2
G6,0.9500953530378328,0.45578944303723756,0.059190031152647975,0.5919003115264797,Ribose + Glutarate,Mix,2
G7,0.7056776689120325,0.6038678753357181,0.19591496456857024,0.7503126302626094,Xylose + Histidine,Mix,2
G8,0.6881115323086635,0.6272983120173377,0.1569060773480663,0.7734806629834254,Xylose + Histidine,Mix,2
G9,0.822410751980402,0.5236141713775511,0.247074122236671,0.6762028608582574,Xylose + Histidine,Mix,2
G10,0.17766332948708258,0.9353022107271926,0.017905102954341987,0.9668755595344674,Glycerol + Inosine,Mix,2
G11,0.21787418148198218,0.9150086795843067,0.028478437754271765,0.9560618388934092,Glycerol + Inosine,Mix,2
G12,0.22086143118987428,0.9130421430552272,0.030695770804911322,0.9549795361527967,Glycerol + Inosine,Mix,2
H1,0.6377471144849515,0.6045472775061634,0.2512337371018394,0.7357559443696725,Alanine + Glucose,Mix,2
H2,0.7049691317662874,0.543546020662654,0.3246753246753247,0.6618381618381618,Alanine + Glucose,Mix,2
H3,0.6506602552600316,0.5912221589835636,0.2663115845539281,0.7212605415002219,Alanine + Glucose,Mix,2
H4,0.5694297662262444,0.673082940312145,0.1793845729267283,0.8003311715192494,Malate + Isoleucine,Mix,2
H5,0.5769679904625005,0.6888609478403822,0.1440829918032787,0.8164702868852459,Malate + Isoleucine,Mix,2
H6,0.584124827969745,0.662831272865273,0.18641355847948674,0.7922576235378187,Malate + Isoleucine,Mix,2
H7,0.36737217154921803,0.8334862792898011,0.01772879731672257,0.9103977000479156,Mannitol + Myo-inositol,Mix,2
H8,0.26741900243099725,0.8897880881719465,0.014135556361000362,0.9423704240666908,Mannitol + Myo-inositol,Mix,2
H9,0.2768495543188526,0.8834582679944636,0.013596633214632567,0.9388151505341534,Mannitol + Myo-inositol,Mix,2
