,Species,Carbon source,Mean log10(CFUs/mL),Std log10(CFUs/mL),Abundance rank,Growth rate rank,max_growth_rate,# CS,Effective growth rate,Effective growth rate rank
42,Ct,Glutarate + Inosine,9.346379495459113,0.09583623720327444,2.0,3.0,0.1389531741612039,2.0,0.0974145188148603,3.0
43,Ct,Glycerol,8.276688929665726,0.15085480250744387,2.0,3.0,0.0,1.0,0.0,3.0
44,Ct,Glycerol + Inosine,7.7476608504273665,0.07750090312171279,3.0,4.0,0.0,2.0,0.0,4.0
45,Ct,Glycerol + Isoleucine,9.527711206032587,0.06386813826411764,1.0,3.0,0.0787773307362218,2.0,0.03368116348266113,3.0
46,Ct,Histidine,8.834295102431264,0.16879135997726735,3.0,1.0,0.2118465362489817,1.0,0.09316633806672116,1.0
47,Ct,Histidine + Mannose,8.645287644988942,0.039167245421936114,2.0,4.0,0.2118465362489817,2.0,0.09316633806672116,4.0
48,Ct,Inosine,6.890784217866295,0.07945062919468983,4.0,4.0,0.0,1.0,0.0,4.0
49,Ct,Isoleucine,9.826965539952383,0.09983798947104633,1.0,1.0,0.0787773307362218,1.0,0.03368116348266113,1.0
50,Ct,Malate,8.901370647507951,0.06543922580062868,3.0,1.0,0.8636455588959316,1.0,0.6157448747247196,1.0
51,Ct,Malate + Citrate,8.74404009055923,0.19090781261424114,2.0,1.0,0.9797693542487169,2.0,0.6343805847229583,1.0
52,Ct,Malate + Isoleucine,9.714691547383284,0.11644788432974583,1.0,1.0,0.9424228896321535,2.0,0.6494260382073808,1.0
53,Ct,Mannitol,8.025819123711615,0.08260551887102897,2.0,4.0,0.0,1.0,0.0,4.0
54,Ct,Mannitol + Acetate,8.880155369525388,0.08103354581244579,2.0,2.0,0.3354273673291646,2.0,0.17047905592121174,2.0
55,Ct,Mannitol + Myo-inositol,8.037285850737435,0.25986575483501856,2.0,4.0,0.0,2.0,0.0,4.0
56,Ct,Mannose,7.940137266212986,0.032921956747239314,4.0,4.0,0.0,1.0,0.0,4.0
57,Ct,Myo-inositol,8.188643300137885,0.08112556279887392,2.0,4.0,0.0,1.0,0.0,4.0
58,Ct,Myo-inositol + Glutamate,8.836533426041193,0.04992758075285871,2.0,2.0,0.5689455394645199,2.0,0.30547036963421387,2.0
60,Ct,Ribose,7.023438954189136,0.2834518965320178,4.0,4.0,0.0,1.0,0.0,4.0
61,Ct,Ribose + Glutarate,8.98963738291914,0.10142891670691005,2.0,4.0,0.1389531741612039,2.0,0.0974145188148603,3.0
62,Ct,Xylose,7.493449531190727,0.10881356850836385,3.0,4.0,0.0,1.0,0.0,4.0
63,Ct,Xylose + Histidine,8.431534918972934,0.0728445767599925,3.0,4.0,0.2118465362489817,2.0,0.09316633806672116,4.0
64,Ml,Acetate,8.095010498252767,0.29516003893408765,4.0,4.0,0.0690821107069809,1.0,0.036177634234027825,4.0
65,Ml,Acetate + Alanine,8.462686245324955,0.09879655107061788,4.0,4.0,0.1336244247669502,2.0,0.07921872378127556,4.0
66,Ml,Alanine,7.504721525240946,0.10115300466222327,3.0,3.0,0.0645423140599693,1.0,0.04304108954724774,3.0
67,Ml,Alanine + Glucose,7.880619658568545,0.14798849396150912,3.0,3.0,0.1881508365816557,2.0,0.14870034957068057,3.0
68,Ml,Citrate,9.137167411275229,0.2974608506221822,2.0,2.0,0.1189197584227339,1.0,0.06521493814652604,1.0
69,Ml,Citrate + Glucose,8.179524577935618,0.16663759192683725,4.0,2.0,0.2425282809444203,2.0,0.17087419816995886,3.0
70,Ml,Glucose,8.008779759129949,0.19096753825308493,3.0,3.0,0.1236085225216864,1.0,0.10565926002343283,3.0
71,Ml,Glutamate,8.627454124319511,0.08009679446760382,2.0,4.0,0.0898601383222476,1.0,0.06892882793528675,4.0
72,Ml,Glutamate + Mannose,8.310239325275232,0.11411673156273694,3.0,4.0,0.2168577946791787,2.0,0.17400093216358056,4.0
73,Ml,Glutarate,8.067476845481842,0.2322089159051107,3.0,4.0,0.0470957686527817,1.0,0.03468979436047095,4.0
74,Ml,Glutarate + Inosine,9.409261300284573,0.10975542526065826,1.0,4.0,0.1090748292626974,2.0,0.07471003801979557,4.0
75,Ml,Glycerol,8.044262076957187,0.18558177349915353,3.0,2.0,0.0658508869554015,1.0,0.04889398345459579,2.0
76,Ml,Glycerol + Inosine,8.129946213785992,0.13366820168930257,2.0,2.0,0.1278299475653172,2.0,0.08891422711392041,2.0
77,Ml,Glycerol + Isoleucine,8.516389461113942,0.08344812763606806,3.0,2.0,0.1105303502471336,2.0,0.06283847291448573,2.0
78,Ml,Histidine,7.4791458515344615,0.08826823157676308,4.0,3.0,0.1142103314940971,1.0,0.048017884448100595,4.0
79,Ml,Histidine + Mannose,7.642958203189831,0.1841053996935122,4.0,3.0,0.2412079878510282,2.0,0.1530899886763944,2.0
80,Ml,Inosine,8.619616274889871,0.09322420994375061,2.0,1.0,0.0619790606099157,1.0,0.04002024365932463,1.0
81,Ml,Isoleucine,8.245748554546802,0.26493271665864887,2.0,2.0,0.0446794632917321,1.0,0.013944489459889941,3.0
82,Ml,Malate,9.153130829253078,0.20466588676518796,1.0,4.0,0.056886878716593,1.0,0.040039388893168645,4.0
83,Ml,Malate + Citrate,9.307177376930058,0.09052665603488749,1.0,4.0,0.1758066371393269,2.0,0.10525432703969469,4.0
84,Ml,Malate + Isoleucine,8.18978320422627,0.20414169673304355,3.0,4.0,0.1015663420083251,2.0,0.05398387835305859,4.0
85,Ml,Mannitol,7.227786306851773,0.2488427056660828,4.0,3.0,0.0762517913090457,1.0,0.056604432085238555,2.0
86,Ml,Mannitol + Acetate,7.836483354733622,0.20918122632824632,4.0,4.0,0.1453339020160266,2.0,0.09278206631926639,4.0
87,Ml,Mannitol + Myo-inositol,7.105591541172952,0.09386752981949577,4.0,3.0,0.19622188079222042,2.0,0.10812219623737503,3.0
88,Ml,Mannose,8.346191244602286,0.1470855773032899,3.0,3.0,0.1269976563569311,1.0,0.10507210422829381,2.0
89,Ml,Myo-inositol,7.153130829253077,0.11772265008529831,4.0,3.0,0.1199700894831747,1.0,0.05151776415213647,3.0
90,Ml,Myo-inositol + Glutamate,7.575662613300213,0.09035201767314564,4.0,4.0,0.2098302278054223,2.0,0.12044659208742323,4.0
92,Ml,Ribose,8.414824540615298,0.11313953318277811,3.0,2.0,0.1022928058679579,1.0,0.04532084547536107,3.0
93,Ml,Ribose + Glutarate,8.378172165642104,0.16839685384097106,3.0,3.0,0.14938857452073961,2.0,0.08001063983583201,4.0
94,Ml,Xylose,7.156662379098067,0.14879729770593939,4.0,3.0,0.1176410210681009,1.0,0.052003451969319284,3.0
95,Ml,Xylose + Histidine,7.1955420809975905,0.09342221815547604,4.0,3.0,0.231851352562198,2.0,0.10002133641741988,3.0
96,Oa,Acetate,9.101496842591162,0.2867821803241237,1.0,2.0,0.2272757762829565,1.0,0.09933800026553612,2.0
97,Oa,Acetate + Alanine,9.313070419474082,0.09463927533318232,1.0,1.0,0.6454097885713223,2.0,0.39521671254591006,1.0
98,Oa,Alanine,9.521060915047316,0.10362924200779812,2.0,1.0,0.4181340122883658,1.0,0.29587871228037393,1.0
99,Oa,Alanine + Glucose,9.410282225723583,0.06836106069859446,2.0,1.0,0.757449100300382,2.0,0.42284454462345,1.0
100,Oa,Citrate,9.332489961155984,0.18483010859911778,1.0,1.0,0.1374950090199441,1.0,0.046449776093366354,2.0
101,Oa,Citrate + Glucose,9.407950279299353,0.08764817083905953,2.0,1.0,0.4768100970319603,2.0,0.17341560843644244,2.0
102,Oa,Glucose,8.600837317174927,0.12992035653781794,2.0,1.0,0.3393150880120162,1.0,0.12696583234307607,2.0
103,Oa,Glutamate,8.042799756239269,0.11228386483486222,3.0,2.0,0.3089784809244337,1.0,0.13810918200546415,2.0
104,Oa,Glutamate + Mannose,7.87759541029052,0.08568673851264173,4.0,2.0,0.4693662449344777,2.0,0.2006601653800224,3.0
105,Oa,Glutarate,9.532729818490676,0.1111794854374778,1.0,1.0,0.3119626232916361,1.0,0.1092620285128143,1.0
106,Oa,Glutarate + Inosine,8.356579009934597,0.13375811580123464,4.0,1.0,0.3670956435400654,2.0,0.12380879471990708,1.0
107,Oa,Glycerol,7.541495533320609,0.2107288068076254,4.0,3.0,0.0,1.0,0.0,3.0
108,Oa,Glycerol + Inosine,7.355145647974278,0.21165484466048504,4.0,3.0,0.0551330202484293,2.0,0.014546766207092774,3.0
109,Oa,Glycerol + Isoleucine,8.003063216919374,0.14674158649309477,4.0,4.0,0.0258146723068748,2.0,0.014397729533190861,4.0
110,Oa,Histidine,9.336525920106004,0.11691513326396298,2.0,2.0,0.1876262665138769,1.0,0.08765156883385021,2.0
111,Oa,Histidine + Mannose,8.570906718139282,0.07073480995562348,3.0,1.0,0.3480140305239209,2.0,0.15020255220840845,3.0
112,Oa,Inosine,8.31156570661992,0.2385048588218547,3.0,2.0,0.0551330202484293,1.0,0.014546766207092774,3.0
113,Oa,Isoleucine,8.094433742901183,0.28827518024989157,3.0,3.0,0.0258146723068748,1.0,0.014397729533190861,2.0
114,Oa,Malate,9.1349400843489,0.18963980841298245,2.0,2.0,0.5270545370125138,1.0,0.2680599895731971,2.0
115,Oa,Malate + Citrate,8.354460056262377,0.1421121777346616,4.0,2.0,0.664549546032458,2.0,0.31450976566656347,2.0
116,Oa,Malate + Isoleucine,9.023438954189137,0.1800783885244713,2.0,2.0,0.5528692093193887,2.0,0.28245771910638795,2.0
117,Oa,Mannitol,7.385515116589235,0.14322069779371388,3.0,2.0,0.1060378728341957,1.0,0.038952818903217605,3.0
118,Oa,Mannitol + Acetate,7.938924874506285,0.12358308675279817,3.0,3.0,0.3333136491171522,2.0,0.13829081916875371,3.0
119,Oa,Mannitol + Myo-inositol,7.5905899368189464,0.0649742843757704,3.0,2.0,0.41097441003220997,2.0,0.1453015055563364,2.0
120,Oa,Mannose,8.353131901317164,0.14728910034556345,2.0,2.0,0.160387764010044,1.0,0.06255098337455825,3.0
121,Oa,Myo-inositol,8.01081883519945,0.14004895368782258,3.0,1.0,0.3049365371980143,1.0,0.10634868665311878,2.0
122,Oa,Myo-inositol + Glutamate,8.167820177369835,0.14426631392103678,3.0,1.0,0.613915018122448,2.0,0.24445786865858293,3.0
124,Oa,Ribose,9.564501569452693,0.11197238537857773,2.0,1.0,0.1030320422900883,1.0,0.0472573243967983,2.0
125,Oa,Ribose + Glutarate,8.11615603765035,0.25234834988320237,4.0,1.0,0.4149946655817244,2.0,0.1565193529096126,2.0
126,Oa,Xylose,7.706834045042064,0.12099376299656485,2.0,2.0,0.2153841472585395,1.0,0.08399290262445712,2.0
127,Oa,Xylose + Histidine,8.882619433910998,0.2425716084273264,2.0,1.0,0.4030104137724164,2.0,0.17164447145830733,2.0
